,Flow Duration,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Bwd Packets/s,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Avg Bwd Segment Size,Init_Win_bytes_forward,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,6730128,428,153,211,673012,1615901,5006429,10,1723699,344739,769927,1722028,90,1682470,2360057,5006458,267,200,168,0,428,109,166,27821,1,4,10,119,153,29200,32,0,0,0,0,1369371163306458,513514184362521,1540542559385758,5006400,15
1,5002114,429,143,247,714587,1890041,5000799,6,5002114,1250528,2500180,5000799,112,465,50,501,430,168,104,0,429,80,162,26549,1,2,7,90,143,29200,32,0,0,0,0,1283785473970133,628923867634898,1540542567764404,5000793,15
2,119580695,0,0,0,508854,511534,1050730,238,119580036,1022051,9131,1051384,1001006,1022054,9160,1051382,1000764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1540542697335227,34617454,1540542757170181,1540542637591726,15
3,5002632,428,142,247,714661,1890219,5001276,6,5002632,1250658,2500412,5001276,176,482,25,500,464,168,104,0,428,83,167,28105,1,2,7,93,142,29200,32,0,0,0,0,1283785724426943,628923990332942,1540542868312518,5001270,15
4,119489221,0,0,0,508464,511111,1049238,191,119488715,1021271,8296,1049913,1000354,1021269,8324,1049909,1000284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1540542817931611,34571308,1540542877682550,1540542758195846,15
5,467,0,0,0,155,150,322,29,467,233,166,351,116,0,0,0,0,104,40,2141,0,0,0,0,1,0,3,0,0,29200,32,0,0,0,0,1540542961786358,0,1540542961786358,1540542961786358,15
6,557,0,0,0,557,0,557,557,557,557,0,557,557,0,0,0,0,64,0,0,0,0,0,0,1,0,2,0,0,227,32,0,0,0,0,0,0,0,0,15
7,1823566,402,142,36,8725,10309,44438,6,1823014,17362,8759,44904,284,17701,8676,47979,71,3400,3336,57,402,140,35,1257,1,202,209,141,142,29200,32,0,0,0,0,1540542962819629,566774,1540542963740120,1540542961917615,15
8,1929919,374,141,33,9060,11792,61038,6,1929583,17702,11521,61038,183,18735,15036,102962,23,3528,3336,53,374,137,38,1487,1,202,213,138,141,29200,32,0,0,0,0,1540542962953031,621142,1540542963853214,1540542961924002,15
9,2035831,394,143,38,9694,12281,70852,6,2035477,19202,11412,70852,254,19762,13154,102309,32,3432,3336,51,394,140,37,1421,1,202,210,141,143,29200,32,0,0,0,0,1540542962991915,591332,1540542963921026,1540542961886724,15
10,2472478,162,139,24,11446,33249,469480,7,2472478,22075,43830,469665,196,24001,46056,469480,267,3624,3336,42,162,135,38,1479,1,202,216,136,139,29200,32,0,0,0,0,1540542963451289,627074,1540542964394730,1540542961923310,15
11,2817160,397,141,34,13226,42039,486039,5,2816636,25840,56162,486039,238,27348,63781,530191,109,3528,3336,36,397,138,39,1546,1,202,213,138,141,29200,32,0,0,0,0,1540542963175591,759234,1540542964724240,1540542961907975,15
12,3100592,162,139,24,14556,94448,1368735,5,3100592,28445,130881,1368912,143,30099,134931,1368735,328,3528,3336,33,164,137,35,1250,1,202,213,138,139,29200,32,0,0,0,0,1540542964268237,558429,1540542965126037,1540542962026953,15
13,3299938,405,142,36,15789,94296,1363587,9,3299342,31422,131543,1363587,251,32035,137173,1408223,129,3400,3336,31,405,141,35,1275,1,202,209,141,142,29200,32,0,0,0,0,1540542963322201,1188759,1540542965214775,1540542961915991,15
14,3509260,162,137,27,16631,103739,1469533,8,3508910,33102,144898,1469822,248,33740,146408,1469533,11,3432,3368,29,162,138,32,1077,1,202,211,139,137,29200,32,0,0,0,0,1540542964540467,613157,1540542965431533,1540542961923244,15
15,1789276,162,137,27,8520,12882,98269,2,1788903,17037,14220,98269,90,17202,16786,140146,2,3400,3368,58,167,139,31,996,1,202,210,140,137,29200,32,0,0,0,0,1540542964629150,512440,1540542965550400,1540542963762008,15
16,3798866,162,137,27,17751,119384,1714452,6,3798637,34849,165909,1714612,67,36525,170861,1714452,11,3528,3368,27,162,136,36,1326,1,202,214,137,137,29200,32,0,0,0,0,1540542964526813,657443,1540542965825282,1540542962027042,15
17,4538252,237,139,25,20722,107859,1318388,5,4538012,39460,146677,1318388,262,44057,161007,1362970,5,3720,3336,22,237,133,41,1740,1,202,219,134,139,29200,32,0,0,0,0,1540542964084781,1620473,1540542966427990,1540542961890502,15
18,2646390,162,137,27,12139,26819,261682,3,2645916,23415,33805,261682,215,25443,41236,304935,3,3656,3368,39,162,133,40,1624,1,202,218,134,137,29200,32,0,0,0,0,1540542965256211,786372,1540542966520157,1540542963874732,15
19,1729922,162,139,24,8357,9943,41854,5,1729423,16790,8603,42442,197,16792,8596,42171,87,3336,3336,60,162,141,26,716,1,202,207,141,139,29200,32,0,0,0,0,1540542965908684,491096,1540542966878181,1540542965149311,15
20,2591546,162,139,24,11833,26687,257182,4,2590930,22529,33706,257182,230,25157,42584,300729,117,3720,3336,40,162,133,41,1708,1,202,219,134,139,29200,32,0,0,0,0,1540542965673608,888193,1540542966990112,1540542964399659,15
21,3202882,162,137,27,14558,41699,452105,6,3202418,27847,54627,452305,142,30795,61797,452105,16,3720,3368,32,167,133,42,1785,1,202,220,133,137,29200,32,0,0,0,0,1540542965758978,930873,1540542967145795,1540542963943800,15
22,1932159,162,139,24,9157,11834,90765,4,1931715,18053,11471,90765,189,18756,14230,134341,4,3464,3336,53,162,138,32,1073,1,202,211,139,139,29200,32,0,0,0,0,1540542966105220,570341,1540542967147740,1540542965216426,15
23,2705522,162,139,24,12701,31606,323408,5,2705507,24821,40922,323408,203,26264,47531,366809,32,3528,3336,38,164,137,35,1244,1,202,213,138,139,29200,32,0,0,0,0,1540542965870795,800862,1540542967451604,1540542964746497,15
24,1983479,162,139,24,9312,11357,50361,6,1982972,18192,10334,50361,241,19253,12298,92055,8,3528,3336,52,163,136,35,1230,1,202,213,137,139,29200,32,0,0,0,0,1540542966496370,593550,1540542967542037,1540542965559629,15
25,2544615,162,139,24,11946,18890,214275,5,2544077,23340,21296,214275,120,24703,26204,255077,12,3528,3336,40,162,137,35,1235,1,202,213,137,139,29200,32,0,0,0,0,1540542966588636,788342,1540542967990974,1540542965447537,15
26,5039796,162,137,27,23772,208072,3034774,9,5039261,47095,291734,3035075,169,48455,295889,3034774,9,3464,3368,20,162,137,33,1145,1,202,212,137,137,29200,32,0,0,0,0,1540542971479475,831201,1540542972600603,1540542967561792,15
27,4619333,162,137,27,22208,178838,2584420,12,4618976,44844,252816,2584633,232,44413,251603,2584420,35,3336,3368,22,164,140,28,809,1,202,208,141,137,29200,32,0,0,0,0,1540542971519846,799482,1540542972631379,1540542968012791,15
28,5271318,162,137,27,24632,213367,3125667,4,5270856,48356,297763,3125883,171,50681,304946,3125667,8,3528,3368,19,162,136,36,1328,1,202,214,137,137,29200,32,0,0,0,0,1540542971530166,842546,1540542972741654,1540542967470819,15
29,5960070,162,137,27,27592,249986,3680104,8,5959690,53690,347523,3680362,157,57305,358961,3680104,8,3592,3368,17,162,135,38,1478,1,202,216,135,137,29200,32,0,0,0,0,1540542971615950,939630,1540542972858829,1540542966899883,15
30,6456267,162,137,27,30169,274299,4017545,9,6455806,59227,383022,4017953,113,62077,392257,4017545,9,3528,3368,16,163,136,36,1324,1,202,214,137,137,29200,32,0,0,0,0,1540542971717018,993506,1540542972997809,1540542966542364,15
31,5850103,162,137,27,27209,232776,3416376,11,5849550,53177,324059,3416516,114,56249,333317,3416376,87,3560,3368,17,162,136,37,1403,1,202,215,136,137,29200,32,0,0,0,0,1540542971809383,928438,1540542973019172,1540542967170013,15
32,6686665,162,137,27,31100,279887,4105477,5,6686183,60783,389897,4105766,161,64291,401021,4105477,7,3560,3368,15,163,135,37,1393,1,202,215,136,137,29200,32,0,0,0,0,1540542971832998,1032826,1540542973135219,1540542966449532,15
33,7333682,162,137,27,34110,321545,4713703,8,7333227,66665,448140,4713820,98,70513,460868,4713703,12,3560,3368,14,163,135,37,1394,1,202,215,136,137,29200,32,0,0,0,0,1540542971874873,1092683,1540542973159356,1540542965826691,15
34,6640522,162,139,24,30886,245829,3574455,8,6640522,59824,340406,3575006,185,64468,353868,3574455,224,3592,3336,15,162,135,37,1399,1,202,215,136,139,29200,32,0,0,0,0,1540542971956844,1080120,1540542973645232,1540542967005550,15
35,6522938,162,137,27,29921,234212,3416713,6,6522681,57722,323575,3416904,138,62718,338203,3416713,6,3656,3368,16,162,133,40,1625,1,202,218,134,137,29200,32,0,0,0,0,1540542971763713,1143957,1540542973692795,1540542967170415,15
36,2009490,162,139,24,9434,11378,53822,7,2009103,18432,10361,53822,123,19507,12286,97051,11,3528,3336,51,162,137,35,1241,1,202,213,137,139,29200,32,0,0,0,0,1540542973563681,587756,1540542974648464,1540542972639758,15
37,2061535,162,139,24,9863,12199,92305,6,2060943,19628,11075,92305,90,20012,14088,136881,6,3400,3336,50,162,139,29,891,1,202,209,140,139,29200,32,0,0,0,0,1540542973502845,633276,1540542974667691,1540542972607095,15
38,2187141,162,139,24,10464,16347,187497,8,2186807,20826,18314,187497,403,21230,22068,229182,15,3400,3336,47,162,139,29,893,1,202,209,140,139,29200,32,0,0,0,0,1540542973875020,708292,1540542974949715,1540542972763392,15
39,1857614,162,139,24,8973,10317,31668,5,1857158,18030,8391,32474,171,18032,8380,32343,9,3336,3336,55,162,140,26,712,1,202,207,141,139,29200,32,0,0,0,0,1540542974107365,574833,1540542975018793,1540542973162111,15
40,2210233,162,139,24,10185,11763,44579,5,2209694,19554,9988,44867,129,21455,9836,69121,7,3656,3336,47,162,134,39,1557,1,202,217,135,139,29200,32,0,0,0,0,1540542974109444,663730,1540542975250917,1540542973041526,15
41,2411882,162,139,24,11430,21035,256649,5,2411477,22537,25344,256649,119,23415,30531,296975,5,3464,3336,43,162,139,32,1085,1,202,211,139,139,29200,32,0,0,0,0,1540542974061962,767956,1540542975272859,1540542972861702,15
42,2684540,162,139,24,12486,27634,377934,6,2683966,24179,34925,377934,116,26060,40225,421959,13,3592,3336,38,162,135,37,1398,1,202,215,136,139,29200,32,0,0,0,0,1540542974258746,831755,1540542975682806,1540542973000228,15
43,2177802,162,139,24,10272,13434,113653,4,2177788,20164,13248,113653,204,21141,14523,113955,23,3496,3336,47,162,137,33,1152,1,202,212,138,139,29200,32,0,0,0,0,1540542974649317,597170,1540542975845245,1540542973667761,15
44,2779392,162,139,24,13048,31197,426212,6,2778868,25494,40175,426212,224,26979,46133,468332,95,3528,3336,37,162,137,35,1239,1,202,213,137,139,29200,32,0,0,0,0,1540542974467243,875237,1540542975936026,1540542973157422,15
45,2284767,162,139,24,10828,18818,218057,4,2284321,21348,22208,218057,207,22178,27605,261745,4,3464,3336,45,162,137,32,1057,1,202,211,138,139,29200,32,0,0,0,0,1540542974945468,710642,1540542975996682,1540542973712768,15
46,1635280,162,139,24,7824,10022,57319,5,1634639,15567,9741,57319,179,15873,11771,98932,13,3400,3336,63,162,140,30,904,1,202,209,140,139,29200,32,0,0,0,0,1540542975858455,467721,1540542976599757,1540542974965723,15
47,1495753,162,140,19,7225,8920,30106,5,1495753,14382,8288,30539,203,14659,8155,30909,300,3368,3304,68,162,141,26,719,1,202,207,142,140,29200,32,0,0,0,0,1540542976069008,430204,1540542976767117,1540542975272185,15
48,2108110,162,139,24,9805,13564,111350,5,2107497,18986,14040,111350,200,20463,20429,159321,33,3592,3336,49,162,136,37,1404,1,202,215,136,139,29200,32,0,0,0,0,1540542975744252,631191,1540542976773525,1540542974666646,15
49,1478971,162,139,24,7076,9044,44898,4,1478403,14080,8871,45498,152,14356,8807,47134,17,3400,3336,70,162,140,30,903,1,202,209,140,139,29200,32,0,0,0,0,1540542976530078,400418,1540542977333128,1540542975855182,15
50,1868874,162,139,24,8857,10479,42328,5,1868438,17462,9169,43307,131,18141,10683,74607,21,3464,3336,55,162,138,32,1073,1,202,211,139,139,29200,32,0,0,0,0,1540542976792836,529976,1540542977826356,1540542975958236,15
51,2415799,162,139,24,11341,34809,491310,5,2415062,22156,46397,491310,234,23451,51697,533772,23,3528,3336,43,162,137,35,1239,1,202,213,137,139,29200,32,0,0,0,0,1540542976800914,783231,1540542978113935,1540542975699837,15
52,2213442,162,139,24,10200,11687,46727,6,2212055,19575,9896,47108,103,21486,11721,71125,413,3656,3336,46,164,135,39,1573,1,202,217,135,139,29200,32,0,0,0,0,1540542976997113,647105,1540542978213745,1540542976003298,15
53,3591549,162,139,24,16704,87403,1280449,5,3591053,32351,119882,1280449,90,34866,128437,1323069,18,3592,3336,28,162,136,37,1409,1,202,215,136,139,29200,32,0,0,0,0,1540542976516325,1297698,1540542978259731,1540542974669215,15
54,2068684,162,139,24,9712,11447,46379,4,2067996,18972,10044,47269,228,20079,9477,47790,28,3528,3336,50,162,137,35,1241,1,202,213,137,139,29200,32,0,0,0,0,1540542977645100,646229,1540542978673942,1540542976606152,15
55,3708621,162,139,24,17249,97476,1425244,6,3708153,33406,134024,1425244,155,36003,143544,1468673,123,3592,3336,28,162,136,37,1410,1,202,215,136,139,29200,32,0,0,0,0,1540542977688916,1116633,1540542979002223,1540542975294486,15
56,2390337,162,139,24,11222,21862,279806,5,2389121,21918,26911,279806,183,23201,31356,324316,28,3528,3336,43,163,137,35,1243,1,202,213,138,139,29200,32,0,0,0,0,1540542977896252,775852,1540542979171804,1540542976783155,15
57,4316712,162,139,24,19532,83783,1142944,3,4316318,36891,112647,1142944,125,41907,125790,1185712,3,3784,3336,24,162,132,43,1849,1,202,221,132,139,29200,32,0,0,0,0,1540542977198770,1318991,1540542979358860,1540542975042909,15
58,2592993,162,139,24,11840,16337,145674,5,2592343,22542,17011,145674,90,25171,22494,189472,18,3720,3336,40,163,134,41,1740,1,202,219,135,139,29200,32,0,0,0,0,1540542978069481,781445,1540542979380817,1540542976789026,15
59,2113712,162,140,19,9831,11894,48710,3,2113712,18872,11053,48710,259,20719,13518,91111,243,3624,3304,48,162,136,37,1406,1,202,215,136,140,29200,32,0,0,0,0,1540542978495304,599358,1540542979517258,1540542977404307,15
60,1847382,162,139,24,8673,17364,211009,10,1846786,16942,21577,211009,144,17933,26959,255214,10,3528,3336,56,162,137,35,1234,1,202,213,137,139,29200,32,0,0,0,0,1540542979776078,493007,1540542980542297,1540542978696164,15
61,2383997,162,139,24,11192,38199,544089,7,2383035,21862,51429,544089,141,23143,56933,587052,12,3528,3336,43,163,137,35,1249,1,202,213,138,139,29200,32,0,0,0,0,1540542979173669,622812,1540542980642922,1540542978260869,15
62,2408220,162,139,24,11201,33559,413600,3,2407699,21690,44471,413600,102,23378,52267,455190,14,3592,3336,43,162,136,37,1404,1,202,215,136,139,29200,32,0,0,0,0,1540542979613515,802608,1540542980690884,1540542978283756,15
63,2556158,162,139,24,12230,52978,759718,5,2555717,24340,73040,759718,418,24813,77745,801080,15,3400,3336,40,162,139,29,896,1,202,209,140,139,29200,32,0,0,0,0,1540542979043415,677672,1540542980696596,1540542978141526,15
64,2944202,162,139,24,13567,41806,566918,7,2943571,26049,55317,566918,314,28580,63113,610129,20,3656,3336,35,162,134,39,1553,1,202,217,135,139,29200,32,0,0,0,0,1540542979113031,846639,1540542980793461,1540542977850378,15
65,1554727,162,139,24,7438,8958,42863,5,1554380,14803,8063,43276,150,15091,8020,46435,10,3400,3336,66,162,140,30,904,1,202,209,140,139,29200,32,0,0,0,0,1540542980118070,429026,1540542980921262,1540542979367808,15
66,2011374,162,139,24,9443,12671,93111,3,2010943,18449,12888,93111,401,19519,17486,136438,3,3528,3336,51,162,137,35,1249,1,202,213,138,139,29200,32,0,0,0,0,1540542980053788,549583,1540542981035798,1540542979025258,15
67,1778218,162,139,24,8427,27987,394179,5,1777631,16613,37812,394179,188,17261,42456,436554,11,3464,3336,58,166,138,32,1074,1,202,211,139,139,29200,32,0,0,0,0,1540542980294687,522136,1540542981315677,1540542979538309,15
68,2462154,162,140,19,11668,38342,544211,6,2462154,22797,51437,544211,221,24134,56901,587308,334,3496,3304,41,163,138,32,1074,1,202,211,139,140,29200,32,0,0,0,0,1540542980717063,778665,1540542981864451,1540542979403170,15
69,3192372,162,139,24,14711,56198,759869,9,3192000,28247,75633,759869,284,30985,84399,801310,10,3656,3336,32,163,134,39,1559,1,202,217,135,139,29200,32,0,0,0,0,1540542981000313,1040821,1540542982388436,1540542979196930,15
70,1861448,162,139,24,8906,10340,44550,10,1860772,17721,8516,45190,464,18067,9521,70920,15,3400,3336,55,162,139,29,897,1,202,209,140,139,29200,32,0,0,0,0,1540542981531206,563343,1540542982432494,1540542980572386,15
71,1769133,162,139,24,8464,10337,43491,2,1768657,16844,9301,43801,123,17173,9218,45259,2,3400,3336,58,165,140,30,907,1,202,209,141,139,29200,32,0,0,0,0,1540542981630086,514373,1540542982481570,1540542980713194,15
72,1539267,162,139,24,7436,9351,43535,6,1538786,14939,8792,43920,466,14940,8797,43769,13,3336,3336,67,167,141,26,722,1,202,207,142,139,29200,32,0,0,0,0,1540542981695320,445637,1540542982481599,1540542980943163,15
73,2024099,162,139,24,9502,23714,321445,5,2024083,18569,30790,321445,113,19647,35583,365913,31,3528,3336,51,163,137,35,1243,1,202,213,137,139,29200,32,0,0,0,0,1540542981955515,623292,1540542982827150,1540542980803426,15
74,2027542,162,139,24,9701,28142,390897,7,2026611,19301,37578,390897,94,19681,42051,434687,7,3400,3336,51,162,139,30,902,1,202,209,140,139,29200,32,0,0,0,0,1540542982283116,516414,1540542983081461,1540542981055466,15
75,1560589,162,139,24,7539,9037,28136,4,1559903,15144,7996,28473,119,15149,8043,28580,4,3336,3336,66,170,141,26,723,1,202,207,142,139,29200,32,0,0,0,0,1540542982622020,455048,1540542983445542,1540542981886063,15
76,1768568,162,139,24,8462,9913,42240,4,1767852,16836,8505,42580,215,17166,8525,47734,22,3400,3336,58,162,139,29,896,1,202,209,140,139,29200,32,0,0,0,0,1540542983178200,513118,1540542984169892,1540542982402843,15
77,3713215,162,139,24,17432,82725,1105702,11,3712700,34061,113491,1105702,187,36046,122470,1148543,25,3528,3336,28,162,137,35,1242,1,202,213,137,139,29200,32,0,0,0,0,1540542982876479,1240984,1540542984378874,1540542980666601,15
78,2044866,162,139,24,9600,12246,73104,7,2043573,18748,11814,73104,71,19850,15828,115291,86,3528,3336,50,163,137,35,1251,1,202,213,138,139,29200,32,0,0,0,0,1540542983389325,623351,1540542984541669,1540542982498550,15
79,4060420,162,140,19,18885,89522,1243555,8,4060420,36253,121796,1243555,125,39802,133385,1286418,199,3624,3304,25,162,136,37,1408,1,202,215,136,140,29200,32,0,0,0,0,1540542982438590,1413540,1540542984770592,1540542980711071,15
80,2197238,162,139,24,10413,22873,302886,8,2196680,20529,29055,302886,176,21329,33421,345070,9,3464,3336,47,168,138,32,1073,1,202,211,139,139,29200,32,0,0,0,0,1540542983782694,629849,1540542985024283,1540542982828027,15
81,2570153,162,139,24,12066,22485,260909,4,2570140,23579,27162,260909,170,24950,33154,305681,44,3528,3336,40,162,137,35,1244,1,202,213,138,139,29200,32,0,0,0,0,1540542983859280,758683,1540542985068294,1540542982498617,15
82,2613940,162,139,24,12045,19970,215064,4,2613653,23129,22969,215064,211,25375,29995,260079,14,3656,3336,39,166,134,39,1564,1,202,217,135,139,29200,32,0,0,0,0,1540542983804443,751929,1540542985090841,1540542982477208,15
83,3905516,162,139,24,17833,79328,1105698,5,3904618,33953,107241,1105698,134,37914,118997,1148220,16,3720,3336,26,164,133,41,1710,1,202,219,134,139,29200,32,0,0,0,0,1540542983462047,1260452,1540542985231238,1540542981326661,15
84,2117184,162,140,19,9986,11507,46681,5,2117184,19423,9717,46681,323,20752,8806,47837,163,3528,3304,48,163,138,34,1168,1,202,212,139,140,29200,32,0,0,0,0,1540542984457997,595102,1540542985566312,1540542983450128,15
85,2483916,162,140,19,11661,17920,161650,9,2483916,22581,19939,161650,252,24343,25625,206312,819,3560,3304,41,163,137,35,1252,1,202,213,138,140,29200,32,0,0,0,0,1540542984243552,768246,1540542985587399,1540542983104421,15
86,2243987,162,139,24,10293,13086,93697,4,2243569,19680,12716,93697,192,21781,15722,138221,10,3688,3336,46,162,134,40,1636,1,202,218,134,139,29200,32,0,0,0,0,1540542985208970,686412,1540542986440056,1540542984197009,15
87,2244682,162,139,24,10638,11756,43238,4,2243880,20970,8622,43478,102,21789,8069,45828,27,3464,3336,46,162,138,32,1080,1,202,211,139,139,29200,32,0,0,0,0,1540542985654034,664696,1540542986818472,1540542984575109,15
88,2711093,162,139,24,12212,17831,149530,7,2710421,22969,19263,149530,113,26317,25595,190217,29,3816,3336,38,165,131,43,1925,1,202,222,132,139,29200,32,0,0,0,0,1540542985759533,827965,1540542987113310,1540542984403408,15
89,2415267,162,139,24,11130,12713,76553,6,2415020,21371,10589,76553,264,23446,12087,118009,6,3656,3336,43,162,135,39,1570,1,202,217,135,139,29200,32,0,0,0,0,1540542985960583,727491,1540542987208355,1540542984793634,15
90,2181721,162,139,24,10242,12303,72452,3,2181695,20015,10877,72452,138,21179,12892,116562,38,3528,3336,47,162,137,35,1252,1,202,213,138,139,29200,32,0,0,0,0,1540542986105689,630629,1540542987251014,1540542985069692,15
91,2456628,162,139,24,11426,19648,231859,5,2455955,22125,23034,231859,97,23848,28038,276459,31,3592,3336,42,163,136,37,1412,1,202,215,136,139,29200,32,0,0,0,0,1540542986242834,708747,1540542987546442,1540542985091584,15
92,2512154,162,139,24,11418,15521,118884,4,2511656,21652,15869,118884,279,24387,21072,162452,26,3752,3336,41,162,133,42,1783,1,202,220,133,139,29200,32,0,0,0,0,1540542986344124,722487,1540542987556906,1540542985045793,15
93,2562640,162,139,24,11919,22581,261752,8,2562109,23082,27437,261752,276,24875,34145,302462,118,3592,3336,40,162,136,37,1402,1,202,215,136,139,29200,32,0,0,0,0,1540542986571867,804950,1540542987817057,1540542985255475,15
94,2288340,162,139,24,10643,14353,118860,5,2287822,20611,14485,118860,205,22212,18455,160929,27,3592,3336,45,167,136,37,1405,1,202,215,136,139,29200,32,0,0,0,0,1540542986654473,686830,1540542987873486,1540542985585961,15
95,2978443,162,139,24,14049,62219,898552,5,2978053,27574,85283,898552,214,28914,87196,898876,38,3496,3336,34,162,137,33,1152,1,202,212,138,139,29200,32,0,0,0,0,1540542986741846,804790,1540542988586389,1540542985608916,15
