,Flow Duration,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Bwd Packets/s,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Avg Bwd Segment Size,Init_Win_bytes_forward,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,3985054,0,0,0,3985054,0,3985054,3985054,3985054,3985054,0,3985054,3985054,0,0,0,0,16,0,0,31,31,0,0,0,0,0,46,0,0,8,0,0,0,0,0,0,0,0,15
1,3368156,0,0,0,842039,1447248,3008807,574,3368156,842039,1447248,3008807,574,0,0,0,0,124,0,0,40,10,16,280,0,2,3,12,0,8192,20,0,0,0,0,1.47495E+15,1766510,1.47495E+15,1.47495E+15,15
2,547561,0,0,0,182520,207871,408983,393,547561,182520,207871,408983,393,0,0,0,0,92,0,0,40,12,17,320,0,2,3,15,0,8192,20,0,0,0,0,1.47495E+15,386628,1.47495E+15,1.47495E+15,15
3,207736,0,0,0,23081,23884,59344,166,207736,23081,23884,59344,166,0,0,0,0,236,0,0,549,82,170,29212,0,3,9,90,0,8192,20,0,0,0,0,1.47495E+15,48996,1.47495E+15,1.47495E+15,15
4,3999911,0,0,0,3999911,0,3999911,3999911,3999911,3999911,0,3999911,3999911,0,0,0,0,16,0,0,31,31,0,0,0,0,0,46,0,0,8,0,0,0,0,0,0,0,0,15
5,9024851,0,0,0,4512425,2125836,6015619,3009232,9024851,4512425,2125836,6015619,3009232,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,8192,28,0,0,0,0,1.47495E+15,0,1.47495E+15,1.47495E+15,15
6,119758190,0,0,0,59879095,12587900,68780085,50978105,119758190,59879095,12587900,68780085,50978105,0,0,0,0,60,0,0,897,897,0,0,0,3,3,1196,0,32575,20,0,0,0,0,7.37473E+14,1.04294E+15,1.47495E+15,68780085,15
7,9014820,0,0,0,4507410,2110988,6000104,3014716,9014820,4507410,2110988,6000104,3014716,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,8192,28,0,0,0,0,1.47495E+15,0,1.47495E+15,1.47495E+15,15
8,551683,0,0,0,183894,209744,412625,576,551683,183894,209744,412625,576,0,0,0,0,92,0,0,40,12,17,320,0,2,3,15,0,8192,20,0,0,0,0,1.47495E+15,389284,1.47495E+15,1.47495E+15,15
9,9026608,0,0,0,4513304,2124656,6015663,3010945,9026608,4513304,2124656,6015663,3010945,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,8192,28,0,0,0,0,1.47495E+15,0,1.47495E+15,1.47495E+15,15
