,Flow Duration,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Bwd Packets/s,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Avg Bwd Segment Size,Init_Win_bytes_forward,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,3985054,0,0,0,3985054,0,3985054,3985054,3985054,3985054,0,3985054,3985054,0,0,0,0,16,0,0,31,31,0,0,0,0,0,46,0,0,8,0,0,0,0,0,0,0,0,
1,3368156,0,0,0,842039,1447248,3008807,574,3368156,842039,1447248,3008807,574,0,0,0,0,124,0,0,40,10,16,280,0,2,3,12,0,8192,20,0,0,0,0,1474946279380310,1766510,1474946280574051,1474946277351031,
2,547561,0,0,0,182520,207871,408983,393,547561,182520,207871,408983,393,0,0,0,0,92,0,0,40,12,17,320,0,2,3,15,0,8192,20,0,0,0,0,1474946246644463,386628,1474946246917851,1474946246371076,
3,207736,0,0,0,23081,23884,59344,166,207736,23081,23884,59344,166,0,0,0,0,236,0,0,549,82,170,29212,0,3,9,90,0,8192,20,0,0,0,0,1474946256879499,48996,1474946256954858,1474946256804532,
4,3999911,0,0,0,3999911,0,3999911,3999911,3999911,3999911,0,3999911,3999911,0,0,0,0,16,0,0,31,31,0,0,0,0,0,46,0,0,8,0,0,0,0,0,0,0,0,
5,9024851,0,0,0,4512425,2125836,6015619,3009232,9024851,4512425,2125836,6015619,3009232,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,8192,28,0,0,0,0,1474946398456569,0,1474946398456569,1474946398456569,
6,119758190,0,0,0,59879095,12587900,68780085,50978105,119758190,59879095,12587900,68780085,50978105,0,0,0,0,60,0,0,897,897,0,0,0,3,3,1196,0,32575,20,0,0,0,0,737473196718465,1042944499416165,1474946324656845,68780085,
7,9014820,0,0,0,4507410,2110988,6000104,3014716,9014820,4507410,2110988,6000104,3014716,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,8192,28,0,0,0,0,1474946316716394,0,1474946316716394,1474946316716394,
8,551683,0,0,0,183894,209744,412625,576,551683,183894,209744,412625,576,0,0,0,0,92,0,0,40,12,17,320,0,2,3,15,0,8192,20,0,0,0,0,1474946361986637,389284,1474946362261903,1474946361711372,
9,9026608,0,0,0,4513304,2124656,6015663,3010945,9026608,4513304,2124656,6015663,3010945,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,8192,28,0,0,0,0,1474946116484882,0,1474946116484882,1474946116484882,
10,156873,0,0,0,26145,28439,79520,610,156873,26145,28439,79520,610,0,0,0,0,152,0,0,281,77,114,13126,0,3,6,88,0,8192,20,0,0,0,0,1474946408569950,50037,1474946408645503,1474946408512666,
11,3347042,0,0,0,836760,1446907,3003412,1061,3347042,836760,1446907,3003412,1061,0,0,0,0,124,0,0,40,10,16,280,0,2,3,12,0,8192,20,0,0,0,0,1474946163858816,1761498,1474946165041783,1474946161834392,
12,36872575,0,0,0,36872575,0,36872575,36872575,36872575,36872575,0,36872575,36872575,0,0,0,0,16,0,0,48,41,11,133,0,0,0,62,0,0,8,0,0,0,0,36872575,0,36872575,36872575,
13,9014864,0,0,0,4507432,2110725,5999940,3014924,9014864,4507432,2110725,5999940,3014924,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,8192,28,0,0,0,0,1474946201184326,0,1474946201184326,1474946201184326,
14,91803,0,0,0,15300,12557,33690,533,91803,15300,12557,33690,533,0,0,0,0,152,0,0,294,78,117,13866,0,3,6,90,0,8192,20,0,0,0,0,1474946408861070,31426,1474946408888503,1474946408812289,
15,7125274,0,0,0,791697,2318337,6973706,3,7125274,791697,2318337,6973706,3,0,0,0,0,212,0,0,190,45,72,5319,1,4,9,49,0,8192,20,0,0,0,0,1474946117955726,2642813,1474946123948005,1474946116874908,
16,60082783,0,0,0,7510347,21195256,59965906,115,60082783,7510347,21195256,59965906,115,0,0,0,0,240,0,0,213,21,67,4536,1,1,8,23,0,8192,20,0,0,0,0,1264239537451472,557477209186467,1474946117077356,59942565,
17,60089340,0,0,0,12017868,26818474,59992191,170,60089340,12017868,26818474,59992191,170,0,0,0,0,144,0,0,195,27,73,5432,1,1,5,32,0,8192,20,0,0,0,0,1106209602746476,737473028503408,1474946117050380,59991363,
18,60089211,0,0,0,12017842,26818269,59991798,203,60089211,12017842,26818269,59991798,203,0,0,0,0,144,0,0,197,28,74,5544,1,1,5,32,0,8192,20,0,0,0,0,1106209602753600,737473028509074,1474946117049804,59989988,
19,60089455,0,0,0,12017891,26815462,59986825,169,60089455,12017891,26815462,59986825,169,0,0,0,0,144,0,0,198,28,74,5600,1,1,5,33,0,8192,20,0,0,0,0,1106209602754052,737473028511787,1474946117056424,59986372,
20,422,0,0,0,422,0,422,422,422,422,0,422,422,0,0,0,0,40,0,0,1973,1315,1139,1297576,1,1,2,1973,0,258,20,0,0,0,0,0,0,0,0,
21,261,0,0,0,261,0,261,261,261,261,0,261,261,0,0,0,0,40,0,0,549,366,316,100467,1,1,2,549,0,251,20,0,0,0,0,0,0,0,0,
22,19995878,0,0,0,9997939,13978785,19882433,113445,19995878,9997939,13978785,19882433,113445,0,0,0,0,72,0,0,0,0,0,0,1,0,2,0,0,8192,20,0,0,0,0,19768988,0,19768988,19768988,
23,40034107,0,0,0,40034107,0,40034107,40034107,40034107,40034107,0,40034107,40034107,0,0,0,0,40,0,0,897,897,0,0,0,2,2,1345,0,32703,20,0,0,0,0,40034107,0,40034107,40034107,
24,143476,0,0,0,13043,14009,38333,3,143476,13043,14009,38333,3,0,0,0,0,276,0,0,325,61,108,11691,1,4,11,66,0,8192,20,0,0,0,0,1474946408712733,38516,1474946408757117,1474946408639137,
