,Flow Duration,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Bwd Packets/s,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Avg Bwd Segment Size,Init_Win_bytes_forward,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,1056,1460,402,607.2935863,150.8571429,126.9231113,353,21,503,251.5,0.707106781,252,251,206.25,155.8917894,353,50,72,112,4734.848485,1460,230.2222222,475.6660535,226258.1944,1,3,7,259,402,8192,20,0,0,0,0,1.46E+15,320.3930399,1.46E+15,1.46E+15,15
1,94,0,0,0,94,0,94,94,94,94,0,94,94,0,0,0,0,40,0,0,0,0,0,0,1,0,2,0,0,256,20,0,0,0,0,0,0,0,0,15
2,30092640,0,0,0,30092640,0,30092640,30092640,30092640,30092640,0,30092640,30092640,0,0,0,0,16,0,0,133,133,0,0,0,0,0,199.5,0,0,8,0,0,0,0,30092640,0,30092640,30092640,15
3,937,260,119.75,139.2847802,156.1666667,83.40603495,275,60,371,185.5,147.7853173,290,81,292.3333333,162.6939868,463,139,72,92,4268.943436,260,66.625,108.8681214,11852.26786,1,3,6,76.14285714,119.75,8192,20,0,0,0,0,1.46E+15,226.0462711,1.46E+15,1.46E+15,15
4,27170,101,101,0,27170,0,27170,27170,0,0,0,0,0,0,0,0,0,8,8,36.80529996,101,66.33333333,30.022214,901.3333333,0,0,0,99.5,101,0,8,0,0,0,0,0,0,0,0,15
5,14693,0,0,0,14693,0,14693,14693,14693,14693,0,14693,14693,0,0,0,0,40,0,0,0,0,0,0,1,0,2,0,0,256,20,0,0,0,0,0,0,0,0,15
6,10014706,0,0,0,2503676.5,3003603.673,6008059,664,10014706,2503676.5,3003603.673,6008059,664,0,0,0,0,40,0,0,138,129.6666667,5.573747991,31.06666667,0,0,0,155.6,0,0,8,0,0,0,0,1.46E+15,3059414.302,1.46E+15,1.46E+15,15
7,100288,0,0,0,50144,2.828427125,50146,50142,100288,50144,2.828427125,50146,50142,0,0,0,0,24,0,0,386,386,0,0,0,0,0,514.6666667,0,0,8,0,0,0,0,1.46E+15,0,1.46E+15,1.46E+15,15
8,100230,0,0,0,50115,29.69848481,50136,50094,100230,50115,29.69848481,50136,50094,0,0,0,0,24,0,0,386,386,0,0,0,0,0,514.6666667,0,0,8,0,0,0,0,1.46E+15,0,1.46E+15,1.46E+15,15
9,296335,0,0,0,148167.5,32727.02315,171309,125026,296335,148167.5,32727.02315,171309,125026,0,0,0,0,60,0,0,218,109,125.8623587,15841.33333,0,1,3,145.3333333,0,65355,20,0,0,0,0,1.46E+15,0,1.46E+15,1.46E+15,15
10,3008882,0,0,0,1002960.667,5176.842699,1008881,999285,3008882,1002960.667,5176.842699,1008881,999285,0,0,0,0,32,0,0,173,173,0,0,0,0,0,216.25,0,0,8,0,0,0,0,1.46E+15,714398.4663,1.46E+15,1.46E+15,15
11,100207,0,0,0,50103.5,43.13351365,50134,50073,100207,50103.5,43.13351365,50134,50073,0,0,0,0,24,0,0,386,386,0,0,0,0,0,514.6666667,0,0,8,0,0,0,0,1.46E+15,0,1.46E+15,1.46E+15,15
12,2990,0,0,0,2990,0,2990,2990,2990,2990,0,2990,2990,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,15
13,248325,0,0,0,248325,0,248325,248325,0,0,0,0,0,0,0,0,0,32,32,4.026980771,0,0,0,0,1,0,2,0,0,247,32,0,0,0,0,0,0,0,0,15
14,247978,0,0,0,247978,0,247978,247978,247978,247978,0,247978,247978,0,0,0,0,64,0,0,52,34.66666667,30.022214,901.3333333,0,1,2,52,0,258,32,0,0,0,0,0,0,0,0,15
15,1003750,0,0,0,200750,274094.53,501081,509,1003750,200750,274094.53,501081,509,0,0,0,0,48,0,0,54,54,0,0,0,0,0,63,0,0,8,0,0,0,0,1.46E+15,408791.4726,1.46E+15,1.46E+15,15
16,45030392,0,0,0,45030392,0,45030392,45030392,45030392,45030392,0,45030392,45030392,0,0,0,0,40,0,0,1,1,0,0,0,0,2,1.5,0,259,20,0,0,0,0,45030392,0,45030392,45030392,15
17,30191,0,0,0,30191,0,30191,30191,30191,30191,0,30191,30191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
18,242052,0,0,0,242052,0,242052,242052,0,0,0,0,0,0,0,0,0,32,32,4.131343678,0,0,0,0,1,0,2,0,0,247,32,0,0,0,0,0,0,0,0,15
19,200476,0,0,0,100238,57.98275606,100279,100197,200476,100238,57.98275606,100279,100197,0,0,0,0,24,0,0,384,345.75,25.85053191,668.25,0,0,0,461,0,0,8,0,0,0,0,1.46E+15,0,1.46E+15,1.46E+15,15
20,200318,0,0,0,100159,2.828427125,100161,100157,200318,100159,2.828427125,100161,100157,0,0,0,0,24,0,0,384,345.75,25.85053191,668.25,0,0,0,461,0,0,8,0,0,0,0,1.46E+15,0,1.46E+15,1.46E+15,15
21,77990,0,0,0,77990,0,77990,77990,77990,77990,0,77990,77990,0,0,0,0,40,0,0,24,16,13.85640646,192,0,1,2,24,0,32591,20,0,0,0,0,0,0,0,0,15
22,45028763,0,0,0,45028763,0,45028763,45028763,45028763,45028763,0,45028763,45028763,0,0,0,0,64,0,0,0,0,0,0,0,0,2,0,0,405,32,0,0,0,0,45028763,0,45028763,45028763,15
23,100248,0,0,0,50124,14.14213562,50134,50114,100248,50124,14.14213562,50134,50114,0,0,0,0,24,0,0,386,386,0,0,0,0,0,514.6666667,0,0,8,0,0,0,0,1.46E+15,0,1.46E+15,1.46E+15,15
24,369832,7300,1155.653846,1548.831842,9020.292683,18685.76914,61008,11,369832,24655.46667,26544.95113,61122,166,12347.92,24148.40067,90538,11,332,532,70.30219127,7300,706.8837209,1320.478723,1743664.058,0,15,41,723.7142857,1155.653846,8192,20,0,0,0,0,1.46E+15,93445.85369,1.46E+15,1.46E+15,15
25,45034435,0,0,0,45034435,0,45034435,45034435,45034435,45034435,0,45034435,45034435,0,0,0,0,64,0,0,0,0,0,0,0,0,2,0,0,31,32,0,0,0,0,45034435,0,45034435,45034435,15
26,28360,0,0,0,28360,0,28360,28360,28360,28360,0,28360,28360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
27,250997,0,0,0,50199.4,54.0814201,50266,50118,250997,50199.4,54.0814201,50266,50118,0,0,0,0,48,0,0,399,359,32.95957119,1086.333333,0,0,0,418.8333333,0,0,8,0,0,0,0,1.46E+15,64817.34639,1.46E+15,1.46E+15,15
28,200339,0,0,0,100169.5,2.121320344,100171,100168,200339,100169.5,2.121320344,100171,100168,0,0,0,0,24,0,0,384,345.75,25.85053191,668.25,0,0,0,461,0,0,8,0,0,0,0,1.46E+15,0,1.46E+15,1.46E+15,15
29,167488,0,0,0,83744,61926.99768,127533,39955,167488,83744,61926.99768,127533,39955,0,0,0,0,60,0,0,821,217.5,402.5986422,162085.6667,0,2,3,290,0,65535,20,0,0,0,0,1.46E+15,0,1.46E+15,1.46E+15,15
30,45018917,0,0,0,45018917,0,45018917,45018917,45018917,45018917,0,45018917,45018917,0,0,0,0,40,0,0,1,1,0,0,0,0,2,1.5,0,253,20,0,0,0,0,45018917,0,45018917,45018917,15
31,24540,104,104,0,24540,0,24540,24540,0,0,0,0,0,0,0,0,0,8,8,40.74979625,104,54,43.30127019,1875,0,0,0,81,104,0,8,0,0,0,0,0,0,0,0,15
32,100278,0,0,0,50139,60.81118318,50182,50096,100278,50139,60.81118318,50182,50096,0,0,0,0,24,0,0,386,386,0,0,0,0,0,514.6666667,0,0,8,0,0,0,0,1.46E+15,0,1.46E+15,1.46E+15,15
33,100300,0,0,0,50150,1.414213562,50151,50149,100300,50150,1.414213562,50151,50149,0,0,0,0,24,0,0,386,386,0,0,0,0,0,514.6666667,0,0,8,0,0,0,0,1.46E+15,0,1.46E+15,1.46E+15,15
34,3014098,0,0,0,1507049,697111.1197,1999981,1014117,3014098,1507049,697111.1197,1999981,1014117,0,0,0,0,24,0,0,40,40,0,0,0,0,0,53.33333333,0,0,8,0,0,0,0,1.46E+15,0,1.46E+15,1.46E+15,15
35,10014836,0,0,0,2503709,3003320.26,6007982,772,10014836,2503709,3003320.26,6007982,772,0,0,0,0,40,0,0,138,129.6666667,5.573747991,31.06666667,0,0,0,155.6,0,0,8,0,0,0,0,1.46E+15,3059686.107,1.46E+15,1.46E+15,15
36,2040761,944,162,344.2599441,88728.73913,114605.4657,284183,20,2004151,182195.5455,110944.5627,285572,8992,185521.2727,161570.1347,514792,45,392,392,5.880159411,944,123.96,269.5051762,72633.04,0,12,23,129.125,162,29200,32,0,0,0,0,1.46E+15,614473.7893,1.46E+15,1.46E+15,15
37,32658890,0,0,0,16329445,2458317.536,18067738,14591152,32658890,16329445,2458317.536,18067738,14591152,0,0,0,0,60,0,0,53,17.75,23.5,552.25,0,1,3,23.66666667,0,1630,20,0,0,0,0,7.32E+14,1.03E+15,1.46E+15,18067738,15
38,26848,104,104,0,26848,0,26848,26848,0,0,0,0,0,0,0,0,0,8,8,37.24672229,104,54,43.30127019,1875,0,0,0,81,104,0,8,0,0,0,0,0,0,0,0,15
39,92240,0,0,0,92240,0,92240,92240,92240,92240,0,92240,92240,0,0,0,0,40,0,0,334,224.6666667,189.3708883,35861.33333,0,1,2,337,0,191,20,0,0,0,0,0,0,0,0,15
40,32659679,0,0,0,16329839.5,2562699.932,18141942,14517737,32659679,16329839.5,2562699.932,18141942,14517737,0,0,0,0,60,0,0,53,39.75,26.5,702.25,0,2,3,53,0,256,20,0,0,0,0,7.32E+14,1.03E+15,1.46E+15,18141942,15
41,100529,0,0,0,50264.5,101.1162697,50336,50193,100529,50264.5,101.1162697,50336,50193,0,0,0,0,24,0,0,386,386,0,0,0,0,0,514.6666667,0,0,8,0,0,0,0,1.46E+15,0,1.46E+15,1.46E+15,15
42,30092666,0,0,0,30092666,0,30092666,30092666,30092666,30092666,0,30092666,30092666,0,0,0,0,16,0,0,133,133,0,0,0,0,0,199.5,0,0,8,0,0,0,0,30092666,0,30092666,30092666,15
43,11,0,0,0,11,0,11,11,11,11,0,11,11,0,0,0,0,40,0,0,6,6,0,0,0,0,0,9,0,0,20,0,0,0,0,0,0,0,0,15
44,26620817,0,0,0,4436802.833,7094807.426,18828297,536797,26620817,4436802.833,7094807.426,18828297,536797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22E+15,5.97E+14,1.46E+15,18828297,15
45,200363,0,0,0,100181.5,30.40559159,100203,100160,200363,100181.5,30.40559159,100203,100160,0,0,0,0,24,0,0,384,345.75,25.85053191,668.25,0,0,0,461,0,0,8,0,0,0,0,1.46E+15,0,1.46E+15,1.46E+15,15
46,16688,44,44,0,16688,0,16688,16688,0,0,0,0,0,0,0,0,0,8,8,59.92329818,44,44,0,0,0,0,0,66,44,0,8,0,0,0,0,0,0,0,0,15
47,38019248,0,0,0,12673082.67,21948770.69,38017340,902,38019248,12673082.67,21948770.69,38017340,902,0,0,0,0,128,0,0,181,72.4,99.13778291,9828.3,0,2,4,90.5,0,65535,32,0,0,0,0,1.46E+15,26880969.76,1.46E+15,1.46E+15,15
48,156979,4380,1638.733333,1850.167153,6279.16,16963.23625,53818,8,156979,15697.9,24836.45075,54283,116,11190.85714,21730.64778,53818,12,232,312,95.55418241,4380,917.9259259,1586.835553,2518047.071,0,9,25,953.2307692,1638.733333,8192,20,0,0,0,0,1.46E+15,54654.50527,1.46E+15,1.46E+15,15
49,16244,0,0,0,16244,0,16244,16244,16244,16244,0,16244,16244,0,0,0,0,40,0,0,0,0,0,0,1,0,2,0,0,256,20,0,0,0,0,0,0,0,0,15
50,242542,0,0,0,242542,0,242542,242542,0,0,0,0,0,0,0,0,0,32,32,4.122997254,0,0,0,0,1,0,2,0,0,247,32,0,0,0,0,0,0,0,0,15
51,2004810,0,0,0,182255.4545,110945.4516,285630,9171,2004810,182255.4545,110945.4516,285630,9171,0,0,0,0,392,0,0,648,88.84615385,183.9691306,33844.64103,0,7,11,96.25,0,29200,32,0,0,0,0,1.46E+15,620052.3022,1.46E+15,1.46E+15,15
52,100255,0,0,0,50127.5,0.707106781,50128,50127,100255,50127.5,0.707106781,50128,50127,0,0,0,0,24,0,0,386,386,0,0,0,0,0,514.6666667,0,0,8,0,0,0,0,1.46E+15,0,1.46E+15,1.46E+15,15
53,30006286,0,0,0,6001257.2,13417909.83,30003944,390,30006286,6001257.2,13417909.83,30003944,390,0,0,0,0,48,0,0,127,127,0,0,0,0,0,148.1666667,0,0,8,0,0,0,0,1.46E+15,17322685.3,1.46E+15,1.46E+15,15
54,30013,101,101,0,30013,0,30013,30013,0,0,0,0,0,0,0,0,0,8,8,33.31889515,101,66.33333333,30.022214,901.3333333,0,0,0,99.5,101,0,8,0,0,0,0,0,0,0,0,15
55,16364,44,44,0,16364,0,16364,16364,0,0,0,0,0,0,0,0,0,8,8,61.10975312,44,44,0,0,0,0,0,66,44,0,8,0,0,0,0,0,0,0,0,15
56,44267608,0,0,0,1924678.609,5716296.588,20036752,11,44267608,1924678.609,5716296.588,20036752,11,0,0,0,0,192,0,0,24,24,0,0,0,0,0,25,0,0,8,0,0,0,0,1.46E+15,17423515.61,1.46E+15,1.46E+15,15
57,130,0,0,0,130,0,130,130,130,130,0,130,130,0,0,0,0,40,0,0,0,0,0,0,1,0,2,0,0,254,20,0,0,0,0,0,0,0,0,15
58,994,1460,402,607.2935863,142,94.63614531,261,26,338,169,202.2325394,312,26,224.25,201.0843521,502,57,72,112,5030.181087,1460,230.2222222,475.6660535,226258.1944,1,3,7,259,402,8192,20,0,0,0,0,1.46E+15,251.9040063,1.46E+15,1.46E+15,15
59,97,0,0,0,97,0,97,97,97,97,0,97,97,0,0,0,0,40,0,0,0,0,0,0,1,0,2,0,0,256,20,0,0,0,0,0,0,0,0,15
60,1024,260,119.75,139.2847802,170.6666667,96.08676635,282,25,441,220.5,276.4787514,416,25,296.6666667,197.8543235,511,121,72,92,3906.25,260,66.625,108.8681214,11852.26786,1,3,6,76.14285714,119.75,8192,20,0,0,0,0,1.46E+15,260.360544,1.46E+15,1.46E+15,15
61,70,0,0,0,70,0,70,70,70,70,0,70,70,0,0,0,0,40,0,0,0,0,0,0,1,0,2,0,0,254,20,0,0,0,0,0,0,0,0,15
62,5191867,0,0,0,865311.1667,1297193.861,2667454,20,5191867,865311.1667,1297193.861,2667454,20,0,0,0,0,224,0,0,100,29.5,42.75845781,1828.285714,1,3,7,33.71428571,0,258,32,0,0,0,0,1.46E+15,2055195.683,1.46E+15,1.46E+15,15
63,5442155,100,33.71428571,44.35355786,453512.9167,865184.2442,2419451,36,5441480,1088296,1099908.483,2419451,265799,865384.6667,1297260.551,2667661,712,192,224,1.286255169,100,36.28571429,39.04913782,1524.835165,1,6,13,39.07692308,33.71428571,247,32,0,0,0,0,1.46E+15,2042677.715,1.46E+15,1.46E+15,15
64,5899,0,0,0,1966.333333,2184.687239,4428,258,5899,1966.333333,2184.687239,4428,258,0,0,0,0,92,0,0,250,50,111.8033989,12500,1,1,3,62.5,0,8192,20,0,0,0,0,1.46E+15,0,1.46E+15,1.46E+15,15
65,9415165,0,0,0,553833.2353,832905.1865,2671247,10326,9415165,553833.2353,832905.1865,2671247,10326,0,0,0,0,584,0,0,648,69.63157895,154.6936796,23930.1345,1,9,17,73.5,0,29200,32,0,0,0,0,1.46E+15,1823206.724,1.46E+15,1.46E+15,15
66,9414162,944,126.3529412,291.6609635,276887.1176,562167.9899,2393125,23,9414162,553774.2353,833106.355,2671267,10251,571001.625,739431.5056,2393125,115,584,552,1.805790043,944,96.41666667,228.0768511,52019.05,1,17,34,99.17142857,126.3529412,29200,32,0,0,0,0,1.46E+15,2324194.632,1.46E+15,1.46E+15,15
