,Flow Duration,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Bwd Packets/s,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Avg Bwd Segment Size,Init_Win_bytes_forward,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,5043867,3393,848,1696,720552,1885676,4996797,8,47070,15690,13033,25389,874,1674356,2877355,4996808,566,136,136,0,3393,444,1123,1262769,1,2,7,499,848,28400,32,0,0,0,0,1.54159E+15,19406,1.54159E+15,1.54159E+15,15
1,5046153,2816,1378,1268,336410,1291276,5004027,20,42126,6018,9988,21074,69,717999,1889984,5004047,180,264,264,1,2816,667,1089,1187002,1,2,15,709,1378,28400,32,0,0,0,0,1.43147E+15,4.12006E+14,1.54159E+15,5004007,15
2,2691615,0,0,0,2691615,0,2691615,2691615,2691615,2691615,0,2691615,2691615,0,0,0,0,64,0,0,0,0,0,0,0,0,2,0,0,275,32,0,0,0,0,0,0,0,0,15
3,2570806,0,0,0,2570806,0,2570806,2570806,2570806,2570806,0,2570806,2570806,0,0,0,0,64,0,0,0,0,0,0,0,0,2,0,0,398,32,0,0,0,0,0,0,0,0,15
4,7439120,2816,1575,1276,495941,1721330,6682876,6,7439120,929890,2346213,6703791,13,1117398,2726528,6682876,55,296,232,0,2816,679,1105,1222806,0,2,15,722,1575,28400,32,0,0,0,0,1.54159E+15,3178574,1.54159E+15,1.54159E+15,15
5,2495506,0,0,0,2495506,0,2495506,2495506,2495506,2495506,0,2495506,2495506,0,0,0,0,64,0,0,0,0,0,0,0,0,2,0,0,395,32,0,0,0,0,0,0,0,0,15
6,7507185,2816,1575,1276,500479,1718824,6669885,11,7507185,938398,2340558,6690427,47,1115176,2721252,6669885,56,296,232,0,2816,672,1107,1226101,0,2,15,714,1575,28400,32,0,0,0,0,1.54159E+15,3177679,1.54159E+15,1.54159E+15,15
7,7426058,2816,1837,1426,571235,1845478,6679360,10,7426058,1060865,2500367,6700135,24,1340170,2984711,6679360,45,264,200,0,2816,751,1254,1572998,0,2,13,805,1837,28400,32,0,0,0,0,1.54159E+15,3344599,1.54159E+15,1.54159E+15,15
8,2551793,0,0,0,2551793,0,2551793,2551793,2551793,2551793,0,2551793,2551793,0,0,0,0,64,0,0,0,0,0,0,0,0,2,0,0,288,32,0,0,0,0,0,0,0,0,15
9,2732383,0,0,0,2732383,0,2732383,2732383,2732383,2732383,0,2732383,2732383,0,0,0,0,64,0,0,0,0,0,0,0,0,2,0,0,275,32,0,0,0,0,0,0,0,0,15
10,2525031,0,0,0,2525031,0,2525031,2525031,2525031,2525031,0,2525031,2525031,0,0,0,0,64,0,0,0,0,0,0,0,0,2,0,0,275,32,0,0,0,0,0,0,0,0,15
11,7476192,2816,1575,1276,498412,1720766,6679004,12,7476192,934524,2344219,6699478,54,1116687,2724979,6679004,76,296,232,0,2816,671,1107,1226793,0,2,15,713,1575,28400,32,0,0,0,0,1.54159E+15,3179274,1.54159E+15,1.54159E+15,15
12,2624551,0,0,0,2624551,0,2624551,2624551,2624551,2624551,0,2624551,2624551,0,0,0,0,64,0,0,0,0,0,0,0,0,2,0,0,395,32,0,0,0,0,0,0,0,0,15
13,2665870,0,0,0,2665870,0,2665870,2665870,2665870,2665870,0,2665870,2665870,0,0,0,0,64,0,0,0,0,0,0,0,0,2,0,0,395,32,0,0,0,0,0,0,0,0,15
14,2668486,0,0,0,2668486,0,2668486,2668486,2668486,2668486,0,2668486,2668486,0,0,0,0,64,0,0,0,0,0,0,0,0,2,0,0,395,32,0,0,0,0,0,0,0,0,15
15,2535842,0,0,0,2535842,0,2535842,2535842,2535842,2535842,0,2535842,2535842,0,0,0,0,64,0,0,0,0,0,0,0,0,2,0,0,398,32,0,0,0,0,0,0,0,0,15
16,2448847,0,0,0,2448847,0,2448847,2448847,2448847,2448847,0,2448847,2448847,0,0,0,0,64,0,0,0,0,0,0,0,0,2,0,0,398,32,0,0,0,0,0,0,0,0,15
17,2638696,0,0,0,2638696,0,2638696,2638696,2638696,2638696,0,2638696,2638696,0,0,0,0,64,0,0,0,0,0,0,0,0,2,0,0,395,32,0,0,0,0,0,0,0,0,15
18,2510893,0,0,0,2510893,0,2510893,2510893,2510893,2510893,0,2510893,2510893,0,0,0,0,64,0,0,0,0,0,0,0,0,2,0,0,395,32,0,0,0,0,0,0,0,0,15
19,7488721,2816,1575,1276,499248,1720340,6676680,4,7488721,936090,2343315,6697295,9,1116329,2724016,6676680,16,296,232,0,2816,678,1105,1223220,0,2,15,721,1575,28400,32,0,0,0,0,1.54159E+15,3179141,1.54159E+15,1.54159E+15,15
20,2722546,0,0,0,2722546,0,2722546,2722546,2722546,2722546,0,2722546,2722546,0,0,0,0,64,0,0,0,0,0,0,0,0,2,0,0,395,32,0,0,0,0,0,0,0,0,15
21,2672245,0,0,0,2672245,0,2672245,2672245,2672245,2672245,0,2672245,2672245,0,0,0,0,64,0,0,0,0,0,0,0,0,2,0,0,398,32,0,0,0,0,0,0,0,0,15
22,7503455,4224,1837,1681,577188,1846669,6681729,26,7503455,1071922,2499557,6702432,71,1340635,2985775,6681729,152,264,200,0,4224,753,1361,1854101,0,2,13,807,1837,28400,32,0,0,0,0,1.54159E+15,3351720,1.54159E+15,1.54159E+15,15
