,Flow Duration,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Bwd Packets/s,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Avg Bwd Segment Size,Init_Win_bytes_forward,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,120954,0,0,0,60477,85463,120909,45,120954,120954,0,120954,120954,0,0,0,0,40,32,8,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,1.53347E+15,0,1.53347E+15,1.53347E+15,15
1,122725,0,0,0,40908,70774,122632,30,122725,61362,86690,122662,63,0,0,0,0,104,40,8,370,74,165,27380,0,1,3,92,0,28400,32,0,0,0,0,1.53347E+15,86737,1.53347E+15,1.53347E+15,15
2,123466,373,33,112,5879,26604,121990,3,123466,12346,38563,122099,9,12341,38706,122502,13,360,292,89,1408,493,663,440270,1,2,17,516,33,28960,32,0,0,0,0,1.53347E+15,38652,1.53347E+15,1.53347E+15,15
3,242816,1408,998,646,11037,35484,120694,3,242813,22073,48889,121218,18,12217,38156,120811,14,344,360,45,1408,473,656,431295,1,2,18,493,998,28400,20,0,0,0,0,1.53347E+15,63357,1.53347E+15,1.53347E+15,15
4,244857,1408,998,646,11129,35825,121863,3,244854,22259,49335,122261,31,12308,38536,121985,13,332,360,44,1408,471,656,431640,1,2,17,492,998,28400,20,0,0,0,0,1.53347E+15,63947,1.53347E+15,1.53347E+15,15
5,245065,1408,998,646,11139,35796,122043,4,245061,22278,49350,122103,7,12302,38387,121555,15,344,360,44,1408,471,656,431640,1,2,18,492,998,28400,20,0,0,0,0,1.53347E+15,63904,1.53347E+15,1.53347E+15,15
6,246037,1408,998,646,11183,35957,122373,6,246031,22366,49545,122737,26,12366,38620,122282,13,320,360,44,1408,473,656,431339,1,2,16,493,998,28400,20,0,0,0,0,1.53347E+15,64239,1.53347E+15,1.53347E+15,15
7,246602,2816,1098,885,12330,37657,122610,3,246599,24659,51705,122866,15,13776,40725,122377,14,300,328,40,2816,516,798,637964,1,2,15,540,1098,28400,20,0,0,0,0,1.53347E+15,67414,1.53347E+15,1.53347E+15,15
8,246312,1408,998,646,11196,36021,122562,6,246306,22391,49637,123122,20,12389,38744,122658,20,344,360,44,1408,471,657,431772,1,2,18,492,998,28400,20,0,0,0,0,1.53347E+15,64337,1.53347E+15,1.53347E+15,15
9,244816,1408,998,646,11127,35789,121874,6,244810,22255,49325,122118,37,12294,38417,121632,17,332,360,44,1408,471,657,431772,1,2,17,492,998,28400,20,0,0,0,0,1.53347E+15,63901,1.53347E+15,1.53347E+15,15
