Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.43.245-192.168.43.80-60094-80-6,192.168.43.245,60094,192.168.43.80,80,6,26/10/2018 01:59:17 PM,6730128,6,5,547.0,765.0,313.0,0.0,91.16666666666667,143.4272173147993,428.0,0.0,153.0,211.95990186825432,194.94428634938296,1.6344414251853754,673012.8,1615901.8889610018,5006429.0,10.0,1723699.0,344739.8,769927.5513366176,1722028.0,90.0,6729880.0,1682470.0,2360057.184393774,5006458.0,267.0,0,0,0,0,200,168,0.8915135046465684,0.7429279205388071,0.0,428.0,109.33333333333333,166.7967371238164,27821.151515151512,1,2,0,4,10,0,0,0,0.0,119.27272727272727,91.16666666666667,153.0,0,0,0,0,0,0,0,49,0,69,29200,243,2,32,0,0,0,0,1.3693711633064585E15,5.1351418436252194E14,1.540542559385758E15,5006400.0,NeedManualLabel
192.168.43.245-192.168.43.80-60102-80-6,192.168.43.245,60102,192.168.43.80,80,6,26/10/2018 01:59:27 PM,5002114,5,3,294.0,429.0,294.0,0.0,58.8,131.48079707698764,429.0,0.0,143.0,247.68326548234944,144.53888895774867,1.5993238058948678,714587.7142857142,1890041.530668018,5000799.0,6.0,5002114.0,1250528.5,2500180.3496671333,5000799.0,112.0,931.0,465.5,50.204581464244875,501.0,430.0,0,0,0,0,168,104,0.9995773786842923,0.5997464272105754,0.0,429.0,80.33333333333333,162.94017306974973,26549.5,1,2,0,2,7,0,0,0,0.0,90.375,58.8,143.0,0,0,0,0,0,0,0,36,0,53,29200,235,1,32,0,0,0,0,1.283785473970133E15,6.289238676348981E14,1.540542567764404E15,5000793.0,NeedManualLabel
192.168.43.245-192.168.43.80-0-0-0,192.168.43.245,0,192.168.43.80,0,0,26/10/2018 02:00:37 PM,119580695,118,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9735627059200482,508854.02127659577,511534.74068189267,1050730.0,238.0,1.19580036E8,1022051.58974359,9131.80681705608,1051384.0,1001006.0,1.19580401E8,1022054.7094017093,9160.235361623705,1051382.0,1000764.0,0,0,0,0,0,0,0.9867813529600241,0.9867813529600241,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5405426973352272E15,3.461745454683067E7,1.540542757170181E15,1.540542637591726E15,NeedManualLabel
192.168.43.245-192.168.43.80-60112-80-6,192.168.43.245,60112,192.168.43.80,80,6,26/10/2018 02:04:28 PM,5002632,5,3,323.0,428.0,323.0,0.0,64.6,144.4499913464864,428.0,0.0,142.66666666666666,247.10591521315982,150.12097631806617,1.5991582031218765,714661.7142857143,1890219.2365082693,5001276.0,6.0,5002632.0,1250658.0,2500412.012428885,5001276.0,176.0,964.0,482.0,25.45584412271571,500.0,464.0,0,0,0,0,168,104,0.9994738769511728,0.5996843261707038,0.0,428.0,83.44444444444444,167.64777892288873,28105.777777777777,1,2,0,2,7,0,0,0,0.0,93.875,64.6,142.66666666666666,0,0,0,0,0,0,0,40,0,53,29200,235,1,32,0,0,0,0,1.2837857244269438E15,6.289239903329421E14,1.540542868312518E15,5001270.0,NeedManualLabel
192.168.43.245-192.168.43.80-0-0-0,192.168.43.245,0,192.168.43.80,0,0,26/10/2018 02:02:38 PM,119489221,118,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.975073550776601,508464.7702127658,511111.6639086411,1049238.0,191.0,1.19488715E8,1021271.0683760686,8296.64801209885,1049913.0,1000354.0,1.19488564E8,1021269.7777777776,8324.643029636833,1049909.0,1000284.0,0,0,0,0,0,0,0.9875367753883005,0.9875367753883005,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5405428179316115E15,3.457130833867997E7,1.54054287768255E15,1.540542758195846E15,NeedManualLabel
192.168.43.245-192.168.43.80-60144-80-6,192.168.43.245,60144,192.168.43.80,80,6,26/10/2018 02:06:01 PM,467,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8565.310492505352,155.66666666666666,150.4736964832503,322.0,29.0,467.0,233.5,166.17009357883867,351.0,116.0,0,0,0,0,0,0,0,0,0,104,40,6423.982869379015,2141.327623126338,0.0,0.0,0.0,0.0,0.0,1,2,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,28960,0,32,0,0,0,0,1.540542961786358E15,0.0,1.540542961786358E15,1.540542961786358E15,NeedManualLabel
192.168.43.80-192.168.43.245-80-60144-6,192.168.43.80,80,192.168.43.245,60144,6,26/10/2018 02:06:01 PM,557,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3590.664272890485,557.0,0.0,557.0,557.0,557.0,557.0,0.0,557.0,557.0,0,0,0,0,0,0,0,0,0,64,0,3590.664272890485,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,227,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.43.245-192.168.43.80-54895-80-6,192.168.43.245,54895,192.168.43.80,80,6,26/10/2018 02:06:01 PM,1823566,106,104,14874.0,14815.0,176.0,0.0,140.32075471698116,31.83754811384142,402.0,0.0,142.45192307692307,36.549442455921074,16280.737851001828,115.15897971337478,8725.196172248805,10309.938925562625,44438.0,6.0,1823014.0,17362.0380952381,8759.05757896429,44904.0,284.0,1823294.0,17701.883495145627,8676.80670489649,47979.0,71.0,0,0,0,0,3400,3336,58.127865950560604,57.03111376281418,0.0,402.0,140.70616113744077,35.46666993312651,1257.8846761453399,1,2,0,202,209,0,0,0,0.0,141.3761904761905,140.32075471698113,142.45192307692307,0,0,0,0,202,16286,0,70,0,70,29200,1073,101,32,0,0,0,0,1.5405429628196295E15,566774.1683602902,1.54054296374012E15,1.540542961917615E15,NeedManualLabel
192.168.43.245-192.168.43.80-58229-80-6,192.168.43.245,58229,192.168.43.80,80,6,26/10/2018 02:06:01 PM,1929919,110,104,14937.0,14693.0,157.0,0.0,135.79090909090917,40.95468416590797,374.0,0.0,141.27884615384616,33.37938923707532,15352.975953913092,110.88548275860282,9060.65258215963,11792.200234847249,61038.0,6.0,1929583.0,17702.596330275228,11521.12766963314,61038.0,183.0,1929748.0,18735.41747572816,15036.878786428078,102962.0,23.0,0,0,0,0,3528,3336,56.99721076376781,53.888271994835016,0.0,374.0,137.81395348837214,38.56518684209958,1487.2736361660502,1,2,0,202,213,0,0,0,0.0,138.45794392523365,135.79090909090908,141.27884615384616,0,0,0,0,202,15366,0,69,0,68,29200,1073,101,32,0,0,0,0,1.5405429629530315E15,621142.483947644,1.540542963853214E15,1.540542961924002E15,NeedManualLabel
192.168.43.245-192.168.43.80-43139-80-6,192.168.43.245,43139,192.168.43.80,80,6,26/10/2018 02:06:01 PM,2035831,107,104,14906.0,14945.0,168.0,0.0,139.30841121495325,34.52765126922087,394.0,0.0,143.701923076923,38.48310177830605,14662.808455122258,103.64318059799659,9694.433333333329,12281.026309443261,70852.0,6.0,2035477.0,19202.613207547165,11412.801265054668,70852.0,254.0,2035534.0,19762.466019417472,13154.02349452145,102309.0,32.0,0,0,0,0,3432,3336,52.55839016106936,51.08479043692723,0.0,394.0,140.8066037735848,37.69703816006389,1421.066686041313,1,2,0,202,210,0,0,0,0.0,141.4739336492891,139.30841121495328,143.70192307692307,0,0,0,0,202,14667,0,70,0,70,29200,1073,101,32,0,0,0,0,1.5405429629919152E15,591332.2197854435,1.540542963921026E15,1.540542961886724E15,NeedManualLabel
