Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.102-75.75.75.75-54897-53-17,192.168.1.102,54897,75.75.75.75,53,17,27/09/2016 08:45:10 AM,3985054,2,0,62.0,0.0,31.0,31.0,31.0,0.0,0,0,0,0,15.558132963819311,0.5018752568973971,3985054.0,0.0,3985054.0,3985054.0,3985054.0,3985054.0,0.0,3985054.0,3985054.0,0,0,0,0,0,0,0,0,0,16,0,0.5018752568973971,0.0,31.0,31.0,31.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,46.5,31.0,0.0,0,0,0,0,0,0,1,31,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.102-148.81.111.121-58681-80-6,192.168.1.102,58681,148.81.111.121,80,6,27/09/2016 08:47:57 AM,3368156,5,0,60.0,0.0,40.0,0.0,12.0,17.88854381999832,0,0,0,0,17.81390173139249,1.484491810949374,842039.0000000001,1447248.7189899322,3008807.0,574.0,3368156.0,842039.0000000001,1447248.7189899322,3008807.0,574.0,0,0,0,0,0,0,0,0,0,124,0,1.484491810949374,0.0,0.0,40.0,10.0,16.73320053068151,280.0,0,2,0,2,3,0,0,0,0.0,12.0,12.0,0.0,0,0,0,0,0,0,1,12,0,0,8192,0,2,20,0,0,0,0,1.4749462793803108E15,1766510.3914951456,1.474946280574051E15,1.474946277351031E15,NeedManualLabel
192.168.1.102-148.81.111.121-58678-80-6,192.168.1.102,58678,148.81.111.121,80,6,27/09/2016 08:47:26 AM,547561,4,0,60.0,0.0,40.0,0.0,15.0,19.148542155126762,0,0,0,0,109.57683253555312,7.305122169036875,182520.3333333333,207871.74738605853,408983.0,393.0,547561.0,182520.3333333333,207871.74738605853,408983.0,393.0,0,0,0,0,0,0,0,0,0,92,0,7.305122169036875,0.0,0.0,40.0,12.0,17.88854381999832,320.0,0,1,0,2,3,0,0,0,0.0,15.0,15.0,0.0,0,0,0,0,0,0,1,15,0,0,8192,0,2,20,0,0,0,0,1.4749462466444635E15,386628.3102832745,1.474946246917851E15,1.474946246371076E15,NeedManualLabel
192.168.1.102-172.217.4.45-58680-443-6,192.168.1.102,58680,172.217.4.45,443,6,27/09/2016 08:47:36 AM,207736,10,0,906.0,0.0,549.0,0.0,90.60000000000001,177.84712536332995,0,0,0,0,4361.304732930257,48.138021334771054,23081.777777777777,23884.838772628224,59344.0,166.0,207736.0,23081.777777777777,23884.838772628224,59344.0,166.0,0,0,0,0,0,0,0,0,0,236,0,48.138021334771054,0.0,0.0,549.0,82.36363636363636,170.9176835364163,29212.854545454546,0,1,0,3,9,0,0,0,0.0,90.6,90.6,0.0,0,0,0,0,0,0,1,90,0,0,8192,0,3,20,0,0,0,0,1.4749462568794998E15,48996.47495313944,1.474946256954858E15,1.474946256804532E15,NeedManualLabel
192.168.1.102-75.75.76.76-54897-53-17,192.168.1.102,54897,75.75.76.76,53,17,27/09/2016 08:45:12 AM,3999911,2,0,62.0,0.0,31.0,31.0,31.0,0.0,0,0,0,0,15.50034488267364,0.5000111252475368,3999911.0,0.0,3999911.0,3999911.0,3999911.0,3999911.0,0.0,3999911.0,3999911.0,0,0,0,0,0,0,0,0,0,16,0,0.5000111252475368,0.0,31.0,31.0,31.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,46.5,31.0,0.0,0,0,0,0,0,0,1,31,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.102-148.81.111.121-58687-80-6,192.168.1.102,58687,148.81.111.121,80,6,27/09/2016 08:49:52 AM,9024851,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.33241546037712977,4512425.5,2125836.634571081,6015619.0,3009232.0,9024851.0,4512425.5,2125836.634571081,6015619.0,3009232.0,0,0,0,0,0,0,0,0,0,92,0,0.33241546037712977,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,8192,0,0,28,0,0,0,0,1.474946398456569E15,0.0,1.474946398456569E15,1.474946398456569E15,NeedManualLabel
192.168.1.102-162.125.34.129-58055-443-6,192.168.1.102,58055,162.125.34.129,443,6,27/09/2016 08:47:53 AM,119758190,3,0,2691.0,0.0,897.0,897.0,897.0,0.0,0,0,0,0,22.470279485686948,0.025050478802326588,5.9879095E7,1.2587900776547296E7,6.8780085E7,5.0978105E7,1.1975819E8,5.9879095E7,1.2587900776547296E7,6.8780085E7,5.0978105E7,0,0,0,0,0,1,0,0,0,60,0,0.025050478802326588,0.0,897.0,897.0,897.0,0.0,0.0,0,0,0,3,3,0,0,0,0.0,1196.0,897.0,0.0,0,0,0,0,0,0,1,897,0,0,32575,0,2,20,0,0,0,0,7.37473196718465E14,1.0429444994161656E15,1.474946324656845E15,6.8780085E7,NeedManualLabel
192.168.1.102-83.133.119.197-58683-80-6,192.168.1.102,58683,83.133.119.197,80,6,27/09/2016 08:48:30 AM,9014820,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.3327853467956099,4507410.0,2110988.099272945,6000104.0,3014716.0,9014820.0,4507410.0,2110988.099272945,6000104.0,3014716.0,0,0,0,0,0,0,0,0,0,92,0,0.3327853467956099,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,8192,0,0,28,0,0,0,0,1.474946316716394E15,0.0,1.474946316716394E15,1.474946316716394E15,NeedManualLabel
192.168.1.102-148.81.111.121-58686-80-6,192.168.1.102,58686,148.81.111.121,80,6,27/09/2016 08:49:21 AM,551683,4,0,60.0,0.0,40.0,0.0,15.0,19.148542155126762,0,0,0,0,108.75810927652293,7.2505406184348615,183894.3333333333,209744.6176051565,412625.0,576.0,551683.0,183894.3333333333,209744.6176051565,412625.0,576.0,0,0,0,0,0,0,0,0,0,92,0,7.2505406184348615,0.0,0.0,40.0,12.0,17.88854381999832,320.0,0,1,0,2,3,0,0,0,0.0,15.0,15.0,0.0,0,0,0,0,0,0,1,15,0,0,8192,0,2,20,0,0,0,0,1.4749463619866375E15,389284.20335341117,1.474946362261903E15,1.474946361711372E15,NeedManualLabel
192.168.1.102-148.81.111.121-58669-80-6,192.168.1.102,58669,148.81.111.121,80,6,27/09/2016 08:45:10 AM,9026608,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.33235075678482995,4513304.0,2124656.4733532807,6015663.0,3010945.0,9026608.0,4513304.0,2124656.4733532807,6015663.0,3010945.0,0,0,0,0,0,0,0,0,0,92,0,0.33235075678482995,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,8192,0,0,28,0,0,0,0,1.474946116484882E15,0.0,1.474946116484882E15,1.474946116484882E15,NeedManualLabel
