Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.107-192.168.1.101-58605-49153-6,192.168.1.107,58605,192.168.1.101,49153,6,17/05/2016 03:04:02 AM,1056,3,5,62.0,2010.0,62.0,0.0,20.666666666666668,35.7957166897568,1460.0,0.0,402.0,607.2935863320146,1962121.212121212,7575.757575757575,150.85714285714286,126.92311133310666,353.0,21.0,503.0,251.5,0.7071067811865476,252.0,251.0,825.0,206.25,155.8917893925142,353.0,50.0,0,0,0,0,72,112,2840.9090909090905,4734.848484848484,0.0,1460.0,230.22222222222223,475.6660534917795,226258.19444444444,1,2,0,3,7,0,0,0,1.0,259.0,20.666666666666668,402.0,0,0,0,0,4,3746835,0,7,0,251,8192,29,1,20,0,0,0,0,1.4634344424087238E15,320.3930398744642,1.463434442409116E15,1.463434442408281E15,NeedManualLabel
192.168.1.107-192.168.1.101-58605-49153-6,192.168.1.107,58605,192.168.1.101,49153,6,17/05/2016 03:04:02 AM,94,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21276.595744680853,94.0,0.0,94.0,94.0,94.0,94.0,0.0,94.0,94.0,0,0,0,0,0,0,0,0,0,40,0,21276.595744680853,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,256,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.107-192.168.1.255-17500-17500-17,192.168.1.107,17500,192.168.1.255,17500,17,17/05/2016 03:04:25 AM,30092640,2,0,266.0,0.0,133.0,133.0,133.0,0.0,0,0,0,0,8.83937068997602,0.0664614337592182,3.009264E7,0.0,3.009264E7,3.009264E7,3.009264E7,3.009264E7,0.0,3.009264E7,3.009264E7,0,0,0,0,0,0,0,0,0,16,0,0.0664614337592182,0.0,133.0,133.0,133.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,199.5,133.0,0.0,0,0,0,0,0,0,1,133,0,0,0,0,1,8,0,0,0,0,3.009264E7,0.0,3.009264E7,3.009264E7,NeedManualLabel
192.168.1.107-192.168.1.101-58606-49153-6,192.168.1.107,58606,192.168.1.101,49153,6,17/05/2016 03:04:02 AM,937,3,4,54.0,479.0,54.0,0.0,18.0,31.176914536239792,260.0,0.0,119.75,139.28478021664822,568836.7129135539,7470.651013874066,156.16666666666666,83.4060349535132,275.0,60.0,371.0,185.5,147.78531726798843,290.0,81.0,877.0,292.3333333333333,162.69398677681156,463.0,139.0,0,0,0,0,72,92,3201.7075773745996,4268.943436499467,0.0,260.0,66.625,108.86812139989767,11852.267857142857,1,2,0,3,6,0,0,0,1.0,76.14285714285714,18.0,119.75,0,0,0,0,0,0,0,7,0,68,8192,29,1,20,0,0,0,0,1.4634344424106528E15,226.04627107445648,1.463434442410934E15,1.463434442410429E15,NeedManualLabel
192.168.1.100-75.75.75.75-43646-53-17,192.168.1.100,43646,75.75.75.75,53,17,17/05/2016 03:05:01 AM,27170,1,1,49.0,101.0,49.0,49.0,49.0,0.0,101.0,101.0,101.0,0.0,5520.794994479205,73.6105999263894,27170.0,0.0,27170.0,27170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,36.8052999631947,36.8052999631947,49.0,101.0,66.33333333333333,30.02221399786054,901.3333333333333,0,0,0,0,0,0,0,0,1.0,99.5,49.0,101.0,0,0,0,0,0,0,0,24,0,50,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.107-23.217.129.26-58542-80-6,192.168.1.107,58542,23.217.129.26,80,6,17/05/2016 03:04:16 AM,14693,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,136.11924045463826,14693.0,0.0,14693.0,14693.0,14693.0,14693.0,0.0,14693.0,14693.0,0,0,0,0,0,0,0,0,0,40,0,136.11924045463826,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,256,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
169.254.17.155-239.255.255.250-49152-1900-17,169.254.17.155,49152,239.255.255.250,1900,17,17/05/2016 03:04:38 AM,10014706,5,0,650.0,0.0,138.0,122.0,130.0,6.164414002968976,0,0,0,0,64.90455136676005,0.499265779744308,2503676.5,3003603.672938725,6008059.0,664.0,1.0014706E7,2503676.5,3003603.672938725,6008059.0,664.0,0,0,0,0,0,0,0,0,0,40,0,0.499265779744308,0.0,122.0,138.0,129.66666666666666,5.573747990954258,31.066666666666627,0,0,0,0,0,0,0,0,0.0,155.6,130.0,0.0,0,0,0,0,0,0,1,130,0,0,0,0,4,8,0,0,0,0,1.463434481662675E15,3059414.3022191357,1.463434484333456E15,1.463434478324733E15,NeedManualLabel
192.168.1.101-192.168.1.108-50629-59000-17,192.168.1.101,50629,192.168.1.108,59000,17,17/05/2016 03:04:26 AM,100288,3,0,1158.0,0.0,386.0,386.0,386.0,0.0,0,0,0,0,11546.745373324824,29.913848117421825,50144.0,2.8284271247461903,50146.0,50142.0,100288.0,50144.0,2.8284271247461903,50146.0,50142.0,0,0,0,0,0,0,0,0,0,24,0,29.913848117421825,0.0,386.0,386.0,386.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,514.6666666666666,386.0,0.0,0,0,0,0,0,0,1,386,0,0,0,0,2,8,0,0,0,0,1.46343446695366E15,0.0,1.46343446695366E15,1.46343446695366E15,NeedManualLabel
192.168.1.101-192.168.1.108-54887-59000-17,192.168.1.101,54887,192.168.1.108,59000,17,17/05/2016 03:04:58 AM,100230,3,0,1158.0,0.0,386.0,386.0,386.0,0.0,0,0,0,0,11553.427117629451,29.931158335827597,50115.0,29.698484809834994,50136.0,50094.0,100230.0,50115.0,29.698484809834994,50136.0,50094.0,0,0,0,0,0,0,0,0,0,24,0,29.931158335827597,0.0,386.0,386.0,386.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,514.6666666666666,386.0,0.0,0,0,0,0,0,0,1,386,0,0,0,0,2,8,0,0,0,0,1.463434498177377E15,0.0,1.463434498177377E15,1.463434498177377E15,NeedManualLabel
192.168.1.107-129.253.8.182-52956-443-6,192.168.1.107,52956,129.253.8.182,443,6,17/05/2016 03:04:37 AM,296335,3,0,218.0,0.0,218.0,0.0,72.66666666666666,125.86235868333841,0,0,0,0,735.6539052086321,10.123677594614202,148167.5,32727.02315365698,171309.0,125026.0,296335.0,148167.5,32727.02315365698,171309.0,125026.0,0,0,0,0,0,1,0,0,0,60,0,10.123677594614202,0.0,0.0,218.0,108.99999999999999,125.86235868333841,15841.333333333334,0,0,0,1,3,0,0,0,0.0,145.33333333333334,72.66666666666667,0.0,0,0,0,0,0,0,1,72,0,0,65355,0,0,20,0,0,0,0,1.463434477896996E15,0.0,1.463434477896996E15,1.463434477896996E15,NeedManualLabel
