Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.0.2-10.128.0.2-41562-80-6,10.0.0.2,41562,10.128.0.2,80,6,07/11/2018 03:41:34 PM,5043867,4,4,604.0,3393.0,604.0,0.0,151.0,302.0,3393.0,0.0,848.25,1696.5,792.447540746019,1.5860846449757697,720552.4285714285,1885676.6672793136,4996797.0,8.0,47070.0,15690.0,13033.958454744285,25389.0,874.0,5023068.0,1674356.0,2877355.265399808,4996808.0,566.0,0,0,0,0,136,136,0.7930423224878849,0.7930423224878849,0.0,3393.0,444.1111111111111,1123.7299992040398,1262769.1111111112,1,2,0,2,7,0,0,0,1.0,499.625,151.0,848.25,0,0,0,0,0,0,0,75,0,424,28400,236,1,32,0,0,0,0,1.5415854947938602E15,19406.108803116236,1.541585494813154E15,1.541585494766658E15,NeedManualLabel
10.0.0.2-10.128.0.2-41563-80-6,10.0.0.2,41563,10.128.0.2,80,6,07/11/2018 03:41:34 PM,5046153,8,8,327.0,11025.0,327.0,0.0,40.87500000000001,115.61195872400052,2816.0,0.0,1378.125,1268.9557503824046,2249.6345235667645,3.1707322389947348,336410.2,1291276.5596849832,5004027.0,20.0,42126.0,6018.0,9988.980161491296,21074.0,69.0,5025994.0,717999.142857143,1889984.4926093468,5004047.0,180.0,0,0,0,0,264,264,1.5853661194973674,1.5853661194973674,0.0,2816.0,667.764705882353,1089.4962442232054,1187002.0661764706,1,2,0,2,15,0,0,0,1.0,709.5,40.875,1378.125,0,0,0,0,6,519780,0,20,0,689,28400,235,1,32,0,0,0,0,1.4314722455430615E15,4.1200605252113825E14,1.541585494822285E15,5004007.0,NeedManualLabel
10.0.0.2-10.128.0.2-41578-80-6,10.0.0.2,41578,10.128.0.2,80,6,07/11/2018 03:41:39 PM,2691615,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.7430483185745361,2691615.0,0.0,2691615.0,2691615.0,2691615.0,2691615.0,0.0,2691615.0,2691615.0,0,0,0,0,0,0,0,0,0,64,0,0.7430483185745361,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,275,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.0.2-10.128.0.2-41633-80-6,10.0.0.2,41633,10.128.0.2,80,6,07/11/2018 03:41:40 PM,2570806,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.7779661320224085,2570806.0,0.0,2570806.0,2570806.0,2570806.0,2570806.0,0.0,2570806.0,2570806.0,0,0,0,0,0,0,0,0,0,64,0,0.7779661320224085,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,398,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.0.2-10.128.0.2-41733-80-6,10.0.0.2,41733,10.128.0.2,80,6,07/11/2018 03:41:35 PM,7439120,9,7,532.0,11025.0,532.0,0.0,59.111111111111114,177.33333333333334,2816.0,0.0,1575.0,1276.3370766899054,1553.5439675660562,2.15079202916474,495941.3333333333,1721330.1438951907,6682876.0,6.0,7439120.0,929889.9999999999,2346213.864948072,6703791.0,13.0,6704393.0,1117398.8333333335,2726528.5581930308,6682876.0,55.0,0,0,0,0,296,232,1.2098205164051663,0.9409715127595737,0.0,2816.0,679.8235294117648,1105.805601998726,1222806.0294117648,0,2,1,2,15,0,0,0,0.0,722.3125,59.111111111111114,1575.0,0,0,0,0,5,19582593,0,33,0,689,28400,235,1,32,0,0,0,0,1.5415855000096135E15,3178574.18069262,1.541585502588051E15,1.541585495148969E15,NeedManualLabel
10.0.0.2-10.128.0.2-41678-80-6,10.0.0.2,41678,10.128.0.2,80,6,07/11/2018 03:41:40 PM,2495506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.8014406697479389,2495506.0,0.0,2495506.0,2495506.0,2495506.0,2495506.0,0.0,2495506.0,2495506.0,0,0,0,0,0,0,0,0,0,64,0,0.8014406697479389,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,395,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.0.2-10.128.0.2-41702-80-6,10.0.0.2,41702,10.128.0.2,80,6,07/11/2018 03:41:35 PM,7507185,9,7,405.0,11025.0,405.0,0.0,45.0,135.0,2816.0,0.0,1575.0,1276.3370766899054,1522.5414053336904,2.1312915560226635,500479.00000000006,1718824.7287565002,6669885.0,11.0,7507185.0,938398.1250000001,2340558.734130039,6690427.0,47.0,6691061.0,1115176.8333333333,2721252.3852343736,6669885.0,56.0,0,0,0,0,296,232,1.1988515002627482,0.9324400557599154,0.0,2816.0,672.3529411764706,1107.2946729064756,1226101.4926470588,0,2,1,2,15,0,0,0,0.0,714.375,45.0,1575.0,0,0,0,0,5,18044189,0,25,0,689,28400,235,1,32,0,0,0,0,1.5415854999399662E15,3177679.492414733,1.541585502588991E15,1.541585495081833E15,NeedManualLabel
10.0.0.2-10.128.0.2-41747-80-6,10.0.0.2,41747,10.128.0.2,80,6,07/11/2018 03:41:35 PM,7426058,8,6,246.0,11025.0,246.0,0.0,30.750000000000004,86.97413408594535,2816.0,0.0,1837.5,1426.3281179307937,1517.7635294526383,1.8852532528024961,571235.2307692308,1845478.8128922058,6679360.0,10.0,7426058.0,1060865.4285714286,2500367.018728708,6700135.0,24.0,6700852.0,1340170.4,2984711.126184291,6679360.0,45.0,0,0,0,0,264,200,1.0772875730299978,0.8079656797724983,0.0,2816.0,751.3999999999999,1254.1925006040453,1572998.8285714283,0,2,1,2,13,0,0,0,0.0,805.0714285714286,30.75,1837.5,0,0,0,0,4,17583732,0,17,0,787,28400,235,1,32,0,0,0,0,1.5415854997292528E15,3344599.9047691547,1.541585502609111E15,1.541585495183087E15,NeedManualLabel
10.0.0.2-10.128.0.2-41647-80-6,10.0.0.2,41647,10.128.0.2,80,6,07/11/2018 03:41:40 PM,2551793,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.7837626327840855,2551793.0,0.0,2551793.0,2551793.0,2551793.0,2551793.0,0.0,2551793.0,2551793.0,0,0,0,0,0,0,0,0,0,64,0,0.7837626327840855,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,288,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.0.2-10.128.0.2-41564-80-6,10.0.0.2,41564,10.128.0.2,80,6,07/11/2018 03:41:39 PM,2732383,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.731961807696798,2732383.0,0.0,2732383.0,2732383.0,2732383.0,2732383.0,0.0,2732383.0,2732383.0,0,0,0,0,0,0,0,0,0,64,0,0.731961807696798,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,275,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
