Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.128.0.2-10.0.0.2-49608-80-6,10.128.0.2,49608,10.0.0.2,80,6,05/08/2018 05:38:17 PM,120954,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.80281760007937,60477.0,85463.75400133088,120909.0,45.0,120954.0,120954.0,0.0,120954.0,120954.0,0,0,0,0,0,0,0,0,0,40,32,16.535211733386245,8.267605866693122,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,235,0,20,0,0,0,0,1.533470897259696E15,0.0,1.533470897259696E15,1.533470897259696E15,NeedManualLabel
10.128.0.2-10.0.0.2-49609-80-6,10.128.0.2,49609,10.0.0.2,80,6,05/08/2018 05:38:17 PM,122725,3,1,370.0,0.0,370.0,0.0,123.33333333333333,213.61959960016154,0.0,0.0,0.0,0.0,3014.870645752699,32.59319617029945,40908.33333333333,70774.7733470997,122632.0,30.0,122725.0,61362.5,86690.58426668953,122662.0,63.0,0,0,0,0,0,0,0,0,0,104,40,24.444897127724587,8.148299042574862,0.0,370.0,74.0,165.46903033498444,27380.0,0,2,0,1,3,0,0,0,0.0,92.5,123.33333333333333,0.0,0,0,0,0,0,0,0,92,0,0,28400,28960,1,32,0,0,0,0,1.5334708973210205E15,86737.25331424785,1.533470897382353E15,1.533470897259688E15,NeedManualLabel
10.0.0.2-10.128.0.2-80-49571-6,10.0.0.2,80,10.128.0.2,49571,6,05/08/2018 05:38:08 PM,123466,11,11,10988.0,373.0,1408.0,0.0,998.9090909090909,646.7347917880179,373.0,0.0,33.90909090909091,112.46373152750583,92017.23551423063,178.18670727163752,5879.333333333334,26604.506421531918,121990.0,3.0,123466.0,12346.599999999997,38563.27892121669,122099.0,9.0,123418.0,12341.8,38706.397891476976,122502.0,13.0,0,0,0,0,360,292,89.09335363581876,89.09335363581876,0.0,1408.0,493.9565217391304,663.529164821841,440270.95256917,1,1,6,2,17,0,0,0,1.0,516.4090909090909,998.9090909090909,33.90909090909091,0,0,0,0,9,92105,0,499,0,16,28960,0,8,32,0,0,0,0,1.5334708886740018E15,38652.70469975083,1.533470888687453E15,1.533470888564061E15,NeedManualLabel
10.128.0.2-10.0.0.2-49572-80-6,10.128.0.2,49572,10.0.0.2,80,6,05/08/2018 05:38:08 PM,242816,12,11,373.0,10988.0,373.0,0.0,31.083333333333332,107.67582520386519,1408.0,0.0,998.9090909090909,646.7347917880179,46788.5147601476,94.72192936215076,11037.090909090908,35484.02242983264,120694.0,3.0,242813.0,22073.909090909092,48889.057439174554,121218.0,18.0,122176.0,12217.599999999997,38156.08726213362,120811.0,14.0,0,0,0,0,344,360,49.42013705851344,45.30179230363732,0.0,1408.0,473.37499999999994,656.7306252417615,431295.1141304349,1,2,5,2,18,0,0,0,0.0,493.95652173913044,31.083333333333332,998.9090909090909,0,0,0,0,9,93092,0,16,0,477,28400,235,1,20,0,0,0,0,1.5334708889052155E15,63357.18546513319,1.533470888930053E15,1.53347088868732E15,NeedManualLabel
10.128.0.2-10.0.0.2-49573-80-6,10.128.0.2,49573,10.0.0.2,80,6,05/08/2018 05:38:08 PM,244857,12,11,339.0,10988.0,339.0,0.0,28.25,97.86087062764156,1408.0,0.0,998.9090909090909,646.7347917880179,46259.65359373022,93.93237685669595,11129.863636363636,35825.80846965396,121863.0,3.0,244854.0,22259.454545454544,49335.90395921339,122261.0,31.0,123088.0,12308.8,38536.41444659843,121985.0,13.0,0,0,0,0,332,360,49.008196620884846,44.92418023581111,0.0,1408.0,471.95833333333337,656.9931823593504,431640.0416666667,1,2,6,2,17,0,0,0,0.0,492.4782608695652,28.25,998.9090909090909,0,0,0,0,9,92124,0,14,0,477,28400,235,1,20,0,0,0,0,1.53347088914987E15,63947.066161176605,1.533470889174745E15,1.533470888929978E15,NeedManualLabel
10.128.0.2-10.0.0.2-49574-80-6,10.128.0.2,49574,10.0.0.2,80,6,05/08/2018 05:38:09 PM,245065,12,11,339.0,10988.0,339.0,0.0,28.25,97.86087062764156,1408.0,0.0,998.9090909090909,646.7347917880179,46220.390508640565,93.85265133740027,11139.318181818178,35796.95886043735,122043.0,4.0,245061.0,22278.272727272724,49350.728677681975,122103.0,7.0,123022.0,12302.199999999999,38387.90096950398,121555.0,15.0,0,0,0,0,344,360,48.96660069777406,44.88605063962622,0.0,1408.0,471.95833333333337,656.9931823593504,431640.0416666667,1,2,5,2,18,0,0,0,0.0,492.4782608695652,28.25,998.9090909090909,0,0,0,0,9,92183,0,14,0,477,28400,235,1,20,0,0,0,0,1.5334708893946895E15,63904.33789334007,1.533470889419667E15,1.533470889174698E15,NeedManualLabel
10.128.0.2-10.0.0.2-49575-80-6,10.128.0.2,49575,10.0.0.2,80,6,05/08/2018 05:38:09 PM,246037,12,11,368.0,10988.0,368.0,0.0,30.666666666666664,106.23244953089113,1408.0,0.0,998.9090909090909,646.7347917880179,46155.65951462585,93.48187467738592,11183.5,35957.60118826457,122373.0,6.0,246031.0,22366.454545454548,49545.02060018471,122737.0,26.0,123664.0,12366.4,38620.68625951066,122282.0,13.0,0,0,0,0,320,360,48.77315200559266,44.70872267179327,0.0,1408.0,473.16666666666663,656.7646436140188,431339.7971014492,1,2,7,2,16,0,0,0,0.0,493.7391304347826,30.666666666666668,998.9090909090909,0,0,0,0,9,91914,0,16,0,477,28400,235,1,20,0,0,0,0,1.5334708896407708E15,64239.908855437134,1.533470889665775E15,1.533470889419804E15,NeedManualLabel
10.128.0.2-10.0.0.2-49576-80-6,10.128.0.2,49576,10.0.0.2,80,6,05/08/2018 05:38:09 PM,246602,11,10,368.0,10988.0,368.0,0.0,33.45454545454545,110.956174804617,2816.0,0.0,1098.8,885.0602992640293,46049.91038191094,85.15746019902515,12330.099999999999,37657.40799546408,122610.0,3.0,246599.0,24659.899999999998,51705.228677034625,122866.0,15.0,123992.0,13776.888888888892,40725.39724313455,122377.0,14.0,0,0,0,0,300,328,44.60628867567984,40.55117152334531,0.0,2816.0,516.1818181818181,798.7270608592887,637964.9177489178,1,2,6,2,15,0,0,0,0.0,540.7619047619048,33.45454545454545,1098.8,0,0,0,0,8,91674,0,17,0,523,28400,235,1,20,0,0,0,0,1.5334708898842395E15,67414.32072967659,1.533470889912228E15,1.533470889665684E15,NeedManualLabel
10.128.0.2-10.0.0.2-49577-80-6,10.128.0.2,49577,10.0.0.2,80,6,05/08/2018 05:38:09 PM,246312,12,11,328.0,10988.0,328.0,0.0,27.333333333333332,94.68544414709861,1408.0,0.0,998.9090909090909,646.7347917880179,45941.73243690928,93.37750495306766,11196.000000000002,36021.823108988225,122562.0,6.0,246306.0,22391.454545454544,49637.37054752927,123122.0,20.0,123899.0,12389.899999999998,38744.51685780124,122658.0,20.0,0,0,0,0,344,360,48.718698236383126,44.65880671668453,0.0,1408.0,471.5,657.0937991410093,431772.2608695651,1,2,5,2,18,0,0,0,0.0,492.0,27.333333333333332,998.9090909090909,0,0,0,0,9,91418,0,14,0,477,28400,235,1,20,0,0,0,0,1.5334708901332502E15,64337.505629706866,1.533470890158261E15,1.533470889912022E15,NeedManualLabel
10.128.0.2-10.0.0.2-49578-80-6,10.128.0.2,49578,10.0.0.2,80,6,05/08/2018 05:38:10 PM,244816,12,11,328.0,10988.0,328.0,0.0,27.333333333333332,94.68544414709861,1408.0,0.0,998.9090909090909,646.7347917880179,46222.46911966538,93.94810796679955,11127.999999999998,35789.30212467726,121874.0,6.0,244810.0,22255.45454545454,49325.43828363543,122118.0,37.0,122942.0,12294.2,38417.65447406816,121632.0,17.0,0,0,0,0,332,360,49.01640415659107,44.93170381020848,0.0,1408.0,471.5,657.0937991410094,431772.26086956525,1,2,6,2,17,0,0,0,0.0,492.0,27.333333333333332,998.9090909090909,0,0,0,0,9,92134,0,14,0,477,28400,235,1,20,0,0,0,0,1.5334708903782382E15,63901.73056975655,1.5334708904031E15,1.533470890158366E15,NeedManualLabel
