Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
154.49.2.126-119.162.193.187-52074-80-6,154.49.2.126,52074,119.162.193.187,80,6,14/08/2018 10:44:27 PM,100343301,5,4,255.0,0.0,239.0,0.0,51.0,105.17128885774864,0.0,0.0,0.0,0.0,2.5412757748521746,0.08969208617125322,1.2542912625E7,3.533636345578355E7,9.9995561E7,68.0,1.00336657E8,2.508416425E7,4.994481655236878E7,1.00001084E8,6742.0,1.00336627E8,3.3445542333333332E7,5.763994578006125E7,1.00002205E8,21127.0,0,0,0,0,168,136,0.04982893676180735,0.03986314940944588,0.0,239.0,25.5,75.08994606470296,5638.499999999999,0,2,0,3,8,0,0,0,0.0,28.333333333333332,51.0,0.0,0,0,0,0,0,0,0,28,0,0,28400,59,3,32,0,0,0,0,1.534266881598544E15,3.787494254262131E7,1.534266967490147E15,1.534266867159081E15,NeedManualLabel
154.49.2.126-119.162.193.187-52075-80-6,154.49.2.126,52075,119.162.193.187,80,6,14/08/2018 10:44:27 PM,100320423,5,4,255.0,0.0,239.0,0.0,51.0,105.17128885774864,0.0,0.0,0.0,0.0,2.541855310956972,0.08971254038671667,1.2540052875E7,3.533753002215665E7,9.9995598E7,55.0,1.00314077E8,2.507851925E7,4.994859661302935E7,1.00001106E8,166.0,1.0031457E8,3.343819E7,5.7646098682404235E7,1.00001944E8,5703.0,0,0,0,0,168,136,0.04984030021484259,0.039872240171874074,0.0,239.0,25.5,75.08994606470296,5638.499999999999,0,2,0,3,8,0,0,0,0.0,28.333333333333332,51.0,0.0,0,0,0,0,0,0,0,28,0,0,28400,59,3,32,0,0,0,0,1.5342668816066898E15,3.787134643774017E7,1.5342669674902E15,1.534266867181686E15,NeedManualLabel
154.49.2.126-119.162.193.187-52077-80-6,154.49.2.126,52077,119.162.193.187,80,6,14/08/2018 10:44:27 PM,100313898,5,4,255.0,0.0,239.0,0.0,51.0,105.17128885774864,0.0,0.0,0.0,0.0,2.542020648026259,0.08971837581269149,1.253923725E7,3.5337952439048514E7,9.9995844E7,93.0,1.00307591E8,2.507689775E7,4.9949679306344956E7,1.00001122E8,324.0,1.00308105E8,3.3436035E7,5.764813555986973E7,1.00002151E8,5722.0,0,0,0,0,168,136,0.049843542118161936,0.03987483369452955,0.0,239.0,25.5,75.08994606470296,5638.499999999999,0,2,0,3,8,0,0,0,0.0,28.333333333333332,51.0,0.0,0,0,0,0,0,0,0,28,0,0,28400,59,3,32,0,0,0,0,1.5342668816103922E15,3.786981639696219E7,1.534266967490459E15,1.534266867188239E15,NeedManualLabel
154.49.2.126-119.162.193.187-52079-80-6,154.49.2.126,52079,119.162.193.187,80,6,14/08/2018 10:44:27 PM,100307169,5,4,255.0,0.0,239.0,0.0,51.0,105.17128885774864,0.0,0.0,0.0,0.0,2.5421911767841836,0.0897243944747359,1.2538396125E7,3.533819014497577E7,9.9995609E7,40.0,1.00300928E8,2.5075232E7,4.9950785422951244E7,1.00001129E8,345.0,1.00301174E8,3.3433724666666668E7,5.764986666962503E7,1.0000185E8,5981.0,0,0,0,0,168,136,0.04984688581929772,0.039877508655438175,0.0,239.0,25.5,75.08994606470296,5638.499999999999,0,2,0,3,8,0,0,0,0.0,28.333333333333332,51.0,0.0,0,0,0,0,0,0,0,28,0,0,28400,59,3,32,0,0,0,0,1.5342668816143575E15,3.786795914177776E7,1.53426696749024E15,1.534266867194872E15,NeedManualLabel
154.49.2.126-119.162.193.187-52081-80-6,154.49.2.126,52081,119.162.193.187,80,6,14/08/2018 10:44:27 PM,100300510,5,4,255.0,0.0,239.0,0.0,51.0,105.17128885774864,0.0,0.0,0.0,0.0,2.5423599541019284,0.08973035132124453,1.253756375E7,3.533845846080695E7,9.9995456E7,39.0,1.00294149E8,2.507353725E7,4.995190906823972E7,1.00001132E8,193.0,1.0029461E8,3.3431536666666668E7,5.765172562927342E7,1.00001817E8,5683.0,0,0,0,0,168,136,0.049850195178469184,0.03988015614277535,0.0,239.0,25.5,75.08994606470296,5638.499999999999,0,2,0,3,8,0,0,0,0.0,28.333333333333332,51.0,0.0,0,0,0,0,0,0,0,28,0,0,28400,34,3,32,0,0,0,0,1.5342668816181835E15,3.786620068851894E7,1.534266967490103E15,1.534266867201669E15,NeedManualLabel
154.49.2.126-119.162.193.187-52083-80-6,154.49.2.126,52083,119.162.193.187,80,6,14/08/2018 10:44:27 PM,100294726,5,4,255.0,0.0,239.0,0.0,51.0,105.17128885774864,0.0,0.0,0.0,0.0,2.5425065720803706,0.08973552607342485,1.253684075E7,3.533875840345234E7,9.9995491E7,43.0,1.00287587E8,2.507189675E7,4.995299987548574E7,1.0000114E8,206.0,1.00288849E8,3.3429616333333332E7,5.765408481292214E7,1.0000263E8,5690.0,0,0,0,0,168,136,0.04985307004079158,0.03988245603263326,0.0,239.0,25.5,75.08994606470296,5638.499999999999,0,2,0,3,8,0,0,0,0.0,28.333333333333332,51.0,0.0,0,0,0,0,0,0,0,28,0,0,28400,34,3,32,0,0,0,0,1.5342668816220562E15,3.7864505198003545E7,1.534266967490154E15,1.534266867208259E15,NeedManualLabel
154.49.2.126-119.162.193.187-52085-80-6,154.49.2.126,52085,119.162.193.187,80,6,14/08/2018 10:44:27 PM,100287250,5,4,255.0,0.0,239.0,0.0,51.0,105.17128885774864,0.0,0.0,0.0,0.0,2.5426961054371318,0.08974221548601642,1.2535906249999998E7,3.5339216577190176E7,9.9995704E7,28.0,1.00281095E8,2.507027375E7,4.9954082283270836E7,1.00001152E8,171.0,1.00281512E8,3.3427170666666668E7,5.765552787952949E7,1.00001859E8,5476.0,0,0,0,0,168,136,0.04985678638112023,0.03988542910489619,0.0,239.0,25.5,75.08994606470296,5638.499999999999,0,2,0,3,8,0,0,0,0.0,28.333333333333332,51.0,0.0,0,0,0,0,0,0,0,28,0,0,28400,34,3,32,0,0,0,0,1.5342668816255188E15,3.7863066942595415E7,1.53426696749038E15,1.534266867214761E15,NeedManualLabel
154.49.2.126-119.162.193.187-52088-80-6,154.49.2.126,52088,119.162.193.187,80,6,14/08/2018 10:44:27 PM,100281256,5,4,255.0,0.0,239.0,0.0,51.0,105.17128885774864,0.0,0.0,0.0,0.0,2.54284808718391,0.08974757954766742,1.2535157000000002E7,3.5339446995980754E7,9.999554E7,25.0,1.00274797E8,2.506869925E7,4.995512582896468E7,1.00001154E8,150.0,1.00275526E8,3.3425175333333332E7,5.765736944599516E7,1.00001999E8,5751.0,0,0,0,0,168,136,0.049859766415370786,0.039887813132296626,0.0,239.0,25.5,75.08994606470296,5638.499999999999,0,2,0,3,8,0,0,0,0.0,28.333333333333332,51.0,0.0,0,0,0,0,0,0,0,28,0,0,28400,34,3,32,0,0,0,0,1.5342668816292342E15,3.786135320190559E7,1.534266967490232E15,1.534266867221074E15,NeedManualLabel
154.49.2.126-119.162.193.187-52091-80-6,154.49.2.126,52091,119.162.193.187,80,6,14/08/2018 10:44:27 PM,100274960,5,4,255.0,0.0,239.0,0.0,51.0,105.17128885774864,0.0,0.0,0.0,0.0,2.5430077459018685,0.08975321456124241,1.253437E7,3.533993159358233E7,9.9995964E7,36.0,1.00268574E8,2.50671435E7,4.9956164850886025E7,1.00001167E8,164.0,1.00269519E8,3.3423173E7,5.7659401302045956E7,1.0000235E8,5323.0,0,0,0,0,168,136,0.049862896978468005,0.03989031758277441,0.0,239.0,25.5,75.08994606470296,5638.499999999999,0,2,0,3,8,0,0,0,0.0,28.333333333333332,51.0,0.0,0,0,0,0,0,0,0,28,0,0,28400,59,3,32,0,0,0,0,1.5342668816325658E15,3.7860068782652184E7,1.534266967490671E15,1.534266867227336E15,NeedManualLabel
154.49.2.126-119.162.193.187-52093-80-6,154.49.2.126,52093,119.162.193.187,80,6,14/08/2018 10:44:27 PM,100269813,5,4,255.0,0.0,239.0,0.0,51.0,105.17128885774864,0.0,0.0,0.0,0.0,2.543138282306361,0.0897578217284598,1.2533726625E7,3.534003146487238E7,9.9995583E7,27.0,1.0026255E8,2.50656375E7,4.995717061405929E7,1.00001181E8,160.0,1.00263943E8,3.3421314333333332E7,5.766143311559993E7,1.00002846E8,5650.0,0,0,0,0,168,136,0.049865456515810994,0.039892365212648793,0.0,239.0,25.5,75.08994606470296,5638.499999999999,0,2,0,3,8,0,0,0,0.0,28.333333333333332,51.0,0.0,0,0,0,0,0,0,0,28,0,0,28400,59,3,32,0,0,0,0,1.5342668816364402E15,3.7858188810076036E7,1.534266967490303E15,1.534266867233378E15,NeedManualLabel
