Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
84.11.146.55-104.73.133.65-1433-443-6,84.11.146.55,1433,104.73.133.65,443,6,23/04/2016 11:32:00 PM,16599,1,2,0.0,85.0,0.0,0.0,0.0,0.0,85.0,0.0,42.5,60.10407640085654,5120.790409060787,180.7337791433219,8299.5,11734.437033790757,16597.0,2.0,0,0,0,0,0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,20,40,60.24459304777397,120.48918609554794,0.0,85.0,21.25,42.5,1806.2499999999998,2,0,0,1,3,0,0,0,2.0,28.333333333333332,0.0,42.5,0,0,0,0,0,0,0,0,0,28,1024,1047,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
84.11.146.55-192.168.1.124-1458-80-6,84.11.146.55,1458,192.168.1.124,80,6,23/04/2016 11:32:05 PM,25462,3,5,291.0,1222.0,291.0,0.0,97.0,168.0089283341811,960.0,0.0,244.4,415.80860981946967,59421.883591234,314.1937004163067,3637.428571428571,6630.1553741759535,17640.0,2.0,7813.0,3906.5,4270.21785158556,6926.0,887.0,18803.0,4700.75,9395.500035477977,18794.0,2.0,0,0,0,0,72,112,117.822637656115,196.37106276019168,0.0,960.0,168.11111111111111,320.26803011089186,102571.61111111112,1,2,0,2,7,0,0,0,1.0,189.125,97.0,244.4,0,0,0,0,0,0,0,36,0,152,8192,159,1,20,0,0,0,0,1.4614345252356065E15,11264.747724649675,1.461434525247932E15,1.461434525222743E15,NeedManualLabel
84.11.146.55-192.168.1.124-1458-80-6,84.11.146.55,1458,192.168.1.124,80,6,23/04/2016 11:32:05 PM,18546,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.83996549121105,18546.0,0.0,18546.0,18546.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,53.91998274560552,53.91998274560552,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,258,159,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
84.11.146.55-192.168.1.124-1458-80-6,84.11.146.55,1458,192.168.1.124,80,6,23/04/2016 11:32:05 PM,18073,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,110.66231394898467,18073.0,0.0,18073.0,18073.0,18073.0,18073.0,0.0,18073.0,18073.0,0,0,0,0,0,0,0,0,0,40,0,110.66231394898467,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,258,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
84.11.146.55-192.168.1.124-1460-80-6,84.11.146.55,1460,192.168.1.124,80,6,23/04/2016 11:32:05 PM,72952,27,119,305.0,112120.0,305.0,0.0,11.296296296296298,58.69727736761196,960.0,0.0,942.1848739495798,125.05700167351173,1541081.8072157034,2001.315933764667,503.1172413793108,1861.7965916444807,12437.0,0.0,72866.0,2802.538461538462,5947.59550225648,29018.0,79.0,62272.0,527.728813559322,1841.4707734824447,12437.0,0.0,0,0,0,0,552,2392,370.1063713126439,1631.2095624520232,0.0,960.0,764.7959183673471,384.58342413605453,147904.41012021241,1,2,0,5,145,0,0,0,4.0,770.0342465753424,11.296296296296296,942.1848739495798,0,0,0,0,118,1817469,0,2,0,767,8192,159,1,20,0,0,0,0,1.4614345254180428E15,12485.591810035887,1.461434525434706E15,1.46143452536185E15,NeedManualLabel
84.11.146.55-192.168.1.124-1460-80-6,84.11.146.55,1460,192.168.1.124,80,6,23/04/2016 11:32:05 PM,2245,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,890.8685968819599,2245.0,0.0,2245.0,2245.0,2245.0,2245.0,0.0,2245.0,2245.0,0,0,0,0,0,0,0,0,0,40,0,890.8685968819599,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,258,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
84.11.146.55-192.168.1.124-1475-80-6,84.11.146.55,1475,192.168.1.124,80,6,23/04/2016 11:32:38 PM,173721,78,568,404.0,538363.0,404.0,0.0,5.179487179487179,45.74399217944167,960.0,0.0,947.822183098592,93.2224874704681,3101334.89906229,3718.6062709747243,269.33488372093024,1331.1785230950657,21624.0,0.0,173399.0,2251.935064935065,4277.890165963094,26029.0,282.0,167051.0,294.62257495590825,1425.2503302724642,21624.0,0.0,0,0,0,0,1572,11372,448.9958036161432,3269.610467358581,0.0,960.0,832.7156105100464,321.3829290875229,103286.98710887576,1,2,0,6,645,0,0,0,7.0,834.0046439628483,5.17948717948718,947.8221830985915,0,0,0,0,567,3256826,0,0,0,833,8192,159,1,20,0,0,0,0,1.461434558250504E15,36739.43876311904,1.461434558323058E15,1.461434558149697E15,NeedManualLabel
84.11.146.55-192.168.1.124-1475-80-6,84.11.146.55,1475,192.168.1.124,80,6,23/04/2016 11:32:38 PM,137242,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,14.572798414479532,137242.0,0.0,137242.0,137242.0,137242.0,137242.0,0.0,137242.0,137242.0,0,0,0,0,0,0,0,0,0,40,0,14.572798414479532,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1083,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
84.11.146.55-192.168.1.124-1491-80-6,84.11.146.55,1491,192.168.1.124,80,6,23/04/2016 11:33:09 PM,36759,3,4,908.0,196.0,908.0,0.0,302.6666666666667,524.2340444241802,196.0,0.0,49.0,97.99999999999999,30033.46119317718,190.42955466688431,6126.5,10653.874295297463,27247.0,1.0,7181.0,3590.5,4536.0900013117025,6798.0,383.0,30070.0,10023.333333333332,14982.674338492889,27247.0,1.0,0,0,0,0,72,92,81.61266628580756,108.81688838107674,0.0,908.0,137.99999999999997,318.59692402783804,101504.0,1,2,0,2,6,0,0,0,1.0,157.71428571428572,302.6666666666667,49.0,0,0,0,0,0,0,0,129,0,28,8192,164,1,20,0,0,0,0,1.4614345899016922E15,15000.838473382542,1.461434589923436E15,1.461434589889117E15,NeedManualLabel
84.11.146.55-192.168.1.124-1491-80-6,84.11.146.55,1491,192.168.1.124,80,6,23/04/2016 11:33:09 PM,1356,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1474.9262536873157,1356.0,0.0,1356.0,1356.0,1356.0,1356.0,0.0,1356.0,1356.0,0,0,0,0,0,0,0,0,0,40,0,1474.9262536873157,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,257,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
84.11.146.55-209.10.120.28-1505-80-6,84.11.146.55,1505,209.10.120.28,80,6,23/04/2016 11:33:37 PM,67508,3,2,219.0,423.0,219.0,0.0,73.0,126.43970895252804,423.0,0.0,211.5,299.10616844190963,9509.984001896071,74.06529596492268,16877.0,19025.361547155942,34062.0,203.0,33446.0,16723.0,22780.152062705816,32831.0,615.0,34880.0,34880.0,0.0,34880.0,34880.0,0,0,0,0,72,52,44.439177578953604,29.62611838596907,0.0,423.0,107.0,177.8741127876679,31639.2,1,2,0,2,4,0,0,0,0.0,128.4,73.0,211.5,0,0,0,0,0,0,0,43,0,84,8192,512,1,20,0,0,0,0,1.46143461778739E15,23362.80805040353,1.46143461780391E15,1.46143461777087E15,NeedManualLabel
84.11.146.55-209.10.120.28-1505-80-6,84.11.146.55,1505,209.10.120.28,80,6,23/04/2016 11:33:37 PM,249,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8032.128514056226,249.0,0.0,249.0,249.0,249.0,249.0,0.0,249.0,249.0,0,0,0,0,0,0,0,0,0,40,0,8032.128514056226,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,258,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
84.11.146.55-209.10.120.30-1506-80-6,84.11.146.55,1506,209.10.120.30,80,6,23/04/2016 11:33:38 PM,68705,3,2,449.0,189.0,449.0,0.0,149.66666666666666,259.23027086614195,189.0,0.0,94.5,133.64318164425748,9286.078160250345,72.77490721199331,17176.25,19416.427913410505,34592.0,203.0,34113.0,17056.5,23370.586224996583,33582.0,531.0,35326.0,35326.0,0.0,35326.0,35326.0,0,0,0,0,72,52,43.66494432719598,29.10996288479732,0.0,449.0,106.33333333333333,184.10938777440617,33896.26666666666,1,2,0,2,4,0,0,0,0.0,127.6,149.66666666666666,94.5,0,0,0,0,0,0,0,89,0,37,8192,512,1,20,0,0,0,0,1.4614346182866085E15,23834.448273454957,1.461434618303462E15,1.461434618269755E15,NeedManualLabel
84.11.146.55-209.10.120.30-1506-80-6,84.11.146.55,1506,209.10.120.30,80,6,23/04/2016 11:33:38 PM,208020,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,9.614460148062685,208020.0,0.0,208020.0,208020.0,208020.0,208020.0,0.0,208020.0,208020.0,0,0,0,0,0,0,0,0,0,40,0,9.614460148062685,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,259,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
84.11.146.55-192.168.1.124-1508-80-6,84.11.146.55,1508,192.168.1.124,80,6,23/04/2016 11:33:40 PM,29406,4,4,1001.0,196.0,960.0,0.0,250.25,473.56124207962796,196.0,0.0,49.0,97.99999999999999,40705.978371760866,272.0533224512004,4200.857142857142,6487.453877255992,17677.0,1.0,7335.0,2445.0,3818.1614685604904,6846.0,17.0,22772.0,7590.666666666666,9098.640136489263,17677.0,1.0,0,0,0,0,92,92,136.0266612256002,136.0266612256002,0.0,960.0,133.0,316.7206971449766,100312.0,1,2,0,2,7,0,0,0,1.0,149.625,250.25,49.0,0,0,0,0,0,0,0,125,0,24,8192,166,2,20,0,0,0,0,1.4614346205971958E15,9248.583280697645,1.461434620612027E15,1.461434620587227E15,NeedManualLabel
