,Flow Duration,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Bwd Packets/s,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Avg Bwd Segment Size,Init_Win_bytes_forward,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
7436,43,6,6,0,43,0,43,43,0,0,0,0,0,0,0,0,0,40,20,23255,6,2,3,12,0,1,0,3,6,29200,40,0,0,0,0,0,0,0,0,2
18162,67,6,6,0,67,0,67,67,0,0,0,0,0,0,0,0,0,24,20,14925,6,3,2,5,0,1,0,5,6,1024,24,0,0,0,0,0,0,0,0,2
18165,31,6,6,0,31,0,31,31,0,0,0,0,0,0,0,0,0,24,20,32258,6,3,2,5,0,1,0,5,6,1024,24,0,0,0,0,0,0,0,0,2
3390,61,6,6,0,61,0,61,61,0,0,0,0,0,0,0,0,0,40,20,16393,6,2,3,12,0,1,0,3,6,29200,40,0,0,0,0,0,0,0,0,2
61202,36,6,6,0,36,0,36,36,0,0,0,0,0,0,0,0,0,24,20,27777,6,3,2,5,0,1,0,5,6,1024,24,0,0,0,0,0,0,0,0,2
69425,74,6,6,0,74,0,74,74,0,0,0,0,0,0,0,0,0,24,20,13513,6,3,2,5,0,1,0,5,6,1024,24,0,0,0,0,0,0,0,0,2
40914,44,6,6,0,44,0,44,44,0,0,0,0,0,0,0,0,0,40,20,22727,6,2,3,12,0,1,0,3,6,29200,40,0,0,0,0,0,0,0,0,2
40908,37,6,6,0,37,0,37,37,0,0,0,0,0,0,0,0,0,40,20,27027,6,2,3,12,0,1,0,3,6,29200,40,0,0,0,0,0,0,0,0,2
18169,48,6,6,0,48,0,48,48,0,0,0,0,0,0,0,0,0,24,20,20833,6,3,2,5,0,1,0,5,6,1024,24,0,0,0,0,0,0,0,0,2
80147,48,6,6,0,48,0,48,48,0,0,0,0,0,0,0,0,0,40,20,20833,6,2,3,12,0,1,0,3,6,29200,40,0,0,0,0,0,0,0,0,2
40904,53,6,6,0,53,0,53,53,0,0,0,0,0,0,0,0,0,24,20,18867,6,3,2,5,0,1,0,5,6,1024,24,0,0,0,0,0,0,0,0,2
40903,76,6,6,0,76,0,76,76,0,0,0,0,0,0,0,0,0,24,20,13157,6,3,2,5,0,1,0,5,6,1024,24,0,0,0,0,0,0,0,0,2
40916,75,6,6,0,75,0,75,75,0,0,0,0,0,0,0,0,0,40,20,13333,6,2,3,12,0,1,0,3,6,29200,40,0,0,0,0,0,0,0,0,2
79927,70,6,6,0,70,0,70,70,0,0,0,0,0,0,0,0,0,24,20,14285,6,3,2,5,0,1,0,5,6,1024,24,0,0,0,0,0,0,0,0,2
80051,13,6,6,0,13,0,13,13,0,0,0,0,0,0,0,0,0,24,20,76923,6,3,2,5,0,1,0,5,6,1024,24,0,0,0,0,0,0,0,0,2
61165,66,6,6,0,66,0,66,66,0,0,0,0,0,0,0,0,0,40,20,15151,6,2,3,12,0,1,0,3,6,29200,40,0,0,0,0,0,0,0,0,2
61137,25,6,6,0,25,0,25,25,0,0,0,0,0,0,0,0,0,40,20,40000,6,2,3,12,0,1,0,3,6,29200,40,0,0,0,0,0,0,0,0,2
41145,59,6,6,0,59,0,59,59,0,0,0,0,0,0,0,0,0,24,20,16949,6,3,2,5,0,1,0,5,6,1024,24,0,0,0,0,0,0,0,0,2
41146,56,6,6,0,56,0,56,56,0,0,0,0,0,0,0,0,0,40,20,17857,6,2,3,12,0,1,0,3,6,29200,40,0,0,0,0,0,0,0,0,2
61136,22,6,6,0,22,0,22,22,0,0,0,0,0,0,0,0,0,24,20,45454,6,3,2,5,0,1,0,5,6,1024,24,0,0,0,0,0,0,0,0,2
7418,22,6,6,0,22,0,22,22,0,0,0,0,0,0,0,0,0,24,20,45454,6,3,2,5,0,1,0,5,6,1024,24,0,0,0,0,0,0,0,0,2
61132,13,6,6,0,13,0,13,13,0,0,0,0,0,0,0,0,0,40,20,76923,6,2,3,12,0,1,0,3,6,29200,40,0,0,0,0,0,0,0,0,2
41152,42,6,6,0,42,0,42,42,0,0,0,0,0,0,0,0,0,40,20,23809,6,2,3,12,0,1,0,3,6,29200,40,0,0,0,0,0,0,0,0,2
79977,84,6,6,0,84,0,84,84,0,0,0,0,0,0,0,0,0,40,20,11904,6,2,3,12,0,1,0,3,6,29200,40,0,0,0,0,0,0,0,0,2
79971,52,6,6,0,52,0,52,52,0,0,0,0,0,0,0,0,0,24,20,19230,6,3,2,5,0,1,0,5,6,1024,24,0,0,0,0,0,0,0,0,2
41165,35,6,6,0,35,0,35,35,0,0,0,0,0,0,0,0,0,40,20,28571,6,2,3,12,0,1,0,3,6,29200,40,0,0,0,0,0,0,0,0,2
61125,61,6,6,0,61,0,61,61,0,0,0,0,0,0,0,0,0,40,20,16393,6,2,3,12,0,1,0,3,6,29200,40,0,0,0,0,0,0,0,0,2
41169,51,6,6,0,51,0,51,51,0,0,0,0,0,0,0,0,0,40,20,19607,6,2,3,12,0,1,0,3,6,29200,40,0,0,0,0,0,0,0,0,2
61122,42,6,6,0,42,0,42,42,0,0,0,0,0,0,0,0,0,24,20,23809,6,3,2,5,0,1,0,5,6,1024,24,0,0,0,0,0,0,0,0,2
61121,23,6,6,0,23,0,23,23,0,0,0,0,0,0,0,0,0,24,20,43478,6,3,2,5,0,1,0,5,6,1024,24,0,0,0,0,0,0,0,0,2
41183,49,6,6,0,49,0,49,49,0,0,0,0,0,0,0,0,0,40,20,20408,6,2,3,12,0,1,0,3,6,29200,40,0,0,0,0,0,0,0,0,2
61120,72,6,6,0,72,0,72,72,0,0,0,0,0,0,0,0,0,24,20,13888,6,3,2,5,0,1,0,5,6,1024,24,0,0,0,0,0,0,0,0,2
79957,101,6,6,0,101,0,101,101,0,0,0,0,0,0,0,0,0,40,20,9900,6,2,3,12,0,1,0,3,6,29200,40,0,0,0,0,0,0,0,0,2
41221,55,6,6,0,55,0,55,55,0,0,0,0,0,0,0,0,0,40,20,18181,6,2,3,12,0,1,0,3,6,29200,40,0,0,0,0,0,0,0,0,2
79929,25,6,6,0,25,0,25,25,0,0,0,0,0,0,0,0,0,24,20,40000,6,3,2,5,0,1,0,5,6,1024,24,0,0,0,0,0,0,0,0,2
69476,64,6,6,0,64,0,64,64,0,0,0,0,0,0,0,0,0,24,20,15625,6,3,2,5,0,1,0,5,6,1024,24,0,0,0,0,0,0,0,0,2
35906,221,77,77,0,73,123,216,1,1,1,0,1,1,4,0,4,4,80,80,9049,77,50,24,580,0,0,0,63,77,-1,40,0,0,0,0,0,0,0,0,0
59337,128198,149,149,0,128198,0,128198,128198,0,0,0,0,0,0,0,0,0,40,32,7,149,76,62,3960,0,0,0,114,149,-1,40,0,0,0,0,0,0,0,0,0
59336,72486,101,101,0,24162,41803,72433,4,49,49,0,49,49,4,0,4,4,40,80,27,101,60,36,1346,0,0,0,76,101,-1,20,0,0,0,0,0,0,0,0,0
59335,95658,0,0,0,95658,0,95658,95658,0,0,0,0,0,0,0,0,0,32,32,10,0,0,0,0,0,0,1,0,0,304,32,0,0,0,0,0,0,0,0,0
35911,61,6,6,0,20,33,59,1,1,1,0,1,1,1,0,1,1,48,40,32786,6,3,2,4,0,1,0,4,6,1024,24,0,0,0,0,0,0,0,0,0
59326,63114526,4194,1494,1089,606870,5766721,58800000,1,63100000,1237539,8228828,58800000,1,1213074,8154645,58800000,1,1684,1704,0,4194,765,1061,1127099,0,1,0,772,1494,29200,32,4297168,0,4297168,4297168,58800000,0,58800000,58800000,0
11194,208,134,134,0,69,36,111,48,48,48,0,48,48,49,0,49,49,64,64,9615,134,82,47,2218,0,0,0,103,134,-1,32,0,0,0,0,0,0,0,0,0
59322,262,183,183,0,87,108,210,3,49,49,0,49,49,3,0,3,3,80,80,7633,183,98,77,5964,0,0,0,123,183,-1,40,0,0,0,0,0,0,0,0,0
11196,257924,6,6,0,257924,0,257924,257924,0,0,0,0,0,0,0,0,0,20,20,3,6,6,0,0,0,0,1,9,6,256,20,0,0,0,0,0,0,0,0,0
35913,110922,146,146,0,110922,0,110922,110922,0,0,0,0,0,0,0,0,0,20,20,9,146,77,59,3536,0,0,0,116,146,-1,20,0,0,0,0,0,0,0,0,0
35914,4747044,46,35,17,678149,1703232,4539146,1,4711763,2355881,3087602,4539146,172617,1177995,2265284,4574531,1,72,100,1,46,34,18,350,0,0,1,39,35,255,20,0,0,0,0,0,0,0,0,0
59310,72,0,0,0,72,0,72,72,0,0,0,0,0,0,0,0,0,32,32,13888,0,0,0,0,0,0,1,0,0,358,32,0,0,0,0,0,0,0,0,0
59286,3,0,0,0,3,0,3,3,3,3,0,3,3,0,0,0,0,40,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
59281,126591,143,143,0,126591,0,126591,126591,0,0,0,0,0,0,0,0,0,20,20,7,143,83,51,2640,0,0,0,125,143,-1,20,0,0,0,0,0,0,0,0,0
59277,116799498,2896,865,862,1327267,3339930,10000000,23,117000000,2994858,4536613,10000000,47,2334074,4249925,10000000,171,1288,1576,0,2896,503,755,570189,0,1,0,508,865,29200,32,172545,473360,1599782,29555,10000000,16286,10000000,9963989,0
59275,2148,0,0,0,2148,0,2148,2148,2148,2148,0,2148,2148,0,0,0,0,40,0,0,6,6,0,0,0,0,1,9,0,63955,20,0,0,0,0,0,0,0,0,0
35924,248718,114,114,0,82906,143552,248666,4,48,48,0,48,48,4,0,4,4,64,64,8,114,62,47,2218,0,0,0,78,114,-1,32,0,0,0,0,0,0,0,0,0
59371,5725512,0,0,0,1908504,3285028,5701703,47,5725512,2862756,4014877,5701703,23809,0,0,0,0,72,32,0,6,2,3,10,0,1,0,3,0,8192,20,0,0,0,0,0,0,0,0,0
35925,68585393,1858,328,606,2286179,4147708,10001950,115,68585393,4286587,4945221,10052687,556,5271883,5022012,10099310,220,352,364,0,1858,179,425,180766,0,1,0,185,328,8192,20,93518,92037,297372,50538,9635143,968306,10001950,7439231,0
59373,118704811,1430,164,372,1945980,10500000,58600000,3,119000000,4093269,15100000,58700000,24,3826391,14600000,58700000,3,612,652,0,1430,124,276,76662,0,1,0,127,164,8192,20,840706,1066128,1594573,86840,58500000,248124,58600000,58300000,0
59386,5749,0,0,0,5749,0,5749,5749,5749,5749,0,5749,5749,0,0,0,0,40,0,0,0,0,0,0,0,0,1,0,0,256,20,0,0,0,0,0,0,0,0,0
20074,31935,134,134,0,10645,18433,31930,1,1,1,0,1,1,4,0,4,4,64,64,62,134,81,47,2270,0,0,0,102,134,-1,32,0,0,0,0,0,0,0,0,0
59475,319,166,166,0,106,101,223,47,47,47,0,47,47,49,0,49,49,64,64,6269,166,89,70,4915,0,0,0,111,166,-1,32,0,0,0,0,0,0,0,0,0
59469,163010,1448,329,558,9588,13255,39332,3,163010,16301,20125,63276,3,22777,19910,48988,207,364,232,42,1448,217,463,215162,0,1,0,229,329,65535,32,0,0,0,0,0,0,0,0,0
20072,3,0,0,0,3,0,3,3,3,3,0,3,3,0,0,0,0,40,0,0,6,6,0,0,0,0,1,9,0,844,20,0,0,0,0,0,0,0,0,0
59467,46,0,0,0,23,28,43,3,46,23,28,43,3,0,0,0,0,96,0,0,0,0,0,0,0,0,1,0,0,395,32,0,0,0,0,0,0,0,0,0
59463,53511,117,117,0,53511,0,53511,53511,0,0,0,0,0,0,0,0,0,20,20,18,117,81,30,936,0,0,0,122,117,-1,20,0,0,0,0,0,0,0,0,0
35872,81269,48,48,0,81269,0,81269,81269,0,0,0,0,0,0,0,0,0,32,32,12,48,48,0,0,0,0,0,72,48,-1,32,0,0,0,0,0,0,0,0,0
35873,3741112,2733,480,1002,287777,990143,3582788,3,3715497,619249,1452053,3582788,3969,619561,1488109,3657024,3,152,152,1,3738,495,1133,1285757,0,1,0,530,480,8192,20,0,0,0,0,0,0,0,0,0
59455,26,0,0,0,26,0,26,26,0,0,0,0,0,0,0,0,0,32,32,38461,0,0,0,0,0,0,1,0,0,283,32,0,0,0,0,0,0,0,0,0
35874,122294,0,0,0,61147,86473,122293,1,1,1,0,1,1,0,0,0,0,64,32,8,0,0,0,0,0,0,1,0,0,65535,32,0,0,0,0,0,0,0,0,0
59451,3,0,0,0,3,0,3,3,3,3,0,3,3,0,0,0,0,40,0,0,6,6,0,0,0,0,1,9,0,360,20,0,0,0,0,0,0,0,0,0
11150,60755,138,138,0,60755,0,60755,60755,0,0,0,0,0,0,0,0,0,20,20,16,138,76,53,2821,0,0,0,115,138,-1,20,0,0,0,0,0,0,0,0,0
11151,53,0,0,0,53,0,53,53,0,0,0,0,0,0,0,0,0,32,32,18867,0,0,0,0,0,0,1,0,0,939,32,0,0,0,0,0,0,0,0,0
59448,5199468,46,46,0,1039893,2167430,4914306,3,5199468,1299867,2412140,4914306,3,0,0,0,0,100,20,0,46,32,18,355,0,0,1,37,46,253,20,0,0,0,0,0,0,0,0,0
59444,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,40,0,0,6,6,0,0,0,0,1,9,0,364,20,0,0,0,0,0,0,0,0,0
35879,4440398,107,82,34,1480132,2453207,4312810,50370,4363180,4363180,0,4363180,4363180,4390028,0,4390028,4390028,40,40,0,107,64,24,609,0,0,0,80,82,-1,20,0,0,0,0,0,0,0,0,0
35880,178,212,212,0,59,98,173,1,4,4,0,4,4,1,0,1,1,40,40,11235,212,135,70,4915,0,0,0,169,212,-1,20,0,0,0,0,0,0,0,0,0
59410,5791590,206,56,81,482632,1500852,5243458,3,548129,109625,128112,313843,429,945925,2202880,5441017,3,132,144,1,517,104,180,32548,0,1,0,113,56,8192,20,548129,0,548129,548129,5243458,0,5243458,5243458,0
59404,3354417,157,103,62,479202,1267693,3354062,3,3354245,1118081,1936569,3354239,3,1118080,1936565,3354234,3,104,104,1,157,70,50,2536,0,0,0,79,103,-1,20,0,0,0,0,0,0,0,0,0
11163,1780497,1418,188,408,44512,126066,793367,3,1730838,108177,204216,842846,209,75262,160695,793367,3,552,776,13,1418,140,316,99920,0,1,0,143,188,29200,32,0,0,0,0,0,0,0,0,0
20060,16185,0,0,0,16185,0,16185,16185,16185,16185,0,16185,16185,0,0,0,0,40,0,0,6,6,0,0,0,0,1,9,0,251,20,0,0,0,0,0,0,0,0,0
11165,709,141,141,0,709,0,709,709,0,0,0,0,0,0,0,0,0,32,32,1410,141,81,51,2700,0,0,0,121,141,-1,32,0,0,0,0,0,0,0,0,0
11166,3,0,0,0,3,0,3,3,3,3,0,3,3,0,0,0,0,40,0,0,6,6,0,0,1,0,0,9,0,0,20,0,0,0,0,0,0,0,0,0
11167,61257,146,146,0,20419,35359,61249,4,4,4,0,4,4,4,0,4,4,64,64,32,146,88,52,2764,0,0,0,110,146,-1,32,0,0,0,0,0,0,0,0,0
20059,240,6,6,0,80,72,142,1,240,120,168,239,1,0,0,0,0,60,20,4166,46,27,20,405,0,0,1,33,6,123,20,0,0,0,0,0,0,0,0,0
35886,36726,48,48,0,36726,0,36726,36726,0,0,0,0,0,0,0,0,0,20,20,27,48,48,0,0,0,0,0,72,48,-1,20,0,0,0,0,0,0,0,0,0
59390,116419675,1448,393,602,2477014,4267269,10018557,3,116419675,4850819,4967621,10048024,3,5078227,5087184,10049243,48,808,744,0,1448,211,452,205090,0,1,0,215,393,29200,32,140128,366137,1244073,29452,10016314,5309,10018557,10000742,0
59379,99469,48,48,0,33156,57423,99463,3,3,3,0,3,3,3,0,3,3,64,40,20,48,48,0,0,0,0,0,60,48,-1,32,0,0,0,0,0,0,0,0,0
59268,81,6,6,0,27,40,74,3,4,4,0,4,4,3,0,3,3,48,40,24691,6,3,2,4,0,1,0,4,6,1024,24,0,0,0,0,0,0,0,0,0
35926,1567472,0,0,0,41249,177348,785354,1,1567472,41249,177348,785354,1,0,0,0,0,1248,0,0,50,50,0,0,0,0,0,51,0,-1,32,0,0,0,0,0,0,0,0,0
11212,7106155,2708,565,1018,355307,1334279,6013014,1,7106155,789572,1976642,6056005,1501,697953,1873768,6013037,3,212,232,1,2708,315,752,565797,0,1,0,330,565,8192,20,1050150,0,1050150,1050150,6013014,0,6013014,6013014,0
11247,115505875,2920,662,930,2625133,4372742,10000000,3,116000000,5250267,5002314,10000000,3,5258932,5128726,10000000,46,472,584,0,2920,337,714,510980,0,1,0,345,662,8192,20,38946,27630,126684,30833,9586542,1432761,10000000,5036934,0
59177,705273,151,109,59,235091,323032,607821,36294,644115,644115,0,644115,644115,668979,0,668979,668979,52,64,2,151,73,44,1940,0,0,0,91,109,-1,20,0,0,0,0,0,0,0,0,0
11249,497,6,6,0,165,224,425,23,474,237,265,425,49,0,0,0,0,60,20,2012,31,11,11,125,0,0,1,13,6,1129,20,0,0,0,0,0,0,0,0,0
59176,450845,2920,604,1097,37570,67226,149138,2,450668,90133,82091,151687,194,50323,76924,149786,2,132,152,15,2920,368,797,636548,0,1,0,397,604,8192,20,0,0,0,0,0,0,0,0,0
59175,42654,0,0,0,42654,0,42654,42654,0,0,0,0,0,0,0,0,0,32,32,23,0,0,0,0,0,0,1,0,0,229,32,0,0,0,0,0,0,0,0,0
11252,46816,125,125,0,15605,27024,46810,3,3,3,0,3,3,3,0,3,3,40,40,42,125,70,49,2484,0,0,0,88,125,-1,20,0,0,0,0,0,0,0,0,0
11254,50671,103,103,0,16890,29209,50619,3,3,3,0,3,3,49,0,49,49,40,40,39,103,69,30,940,0,0,0,86,103,-1,20,0,0,0,0,0,0,0,0,0
59171,48725,99,99,0,16241,28127,48721,1,1,1,0,1,1,3,0,3,3,64,64,41,99,59,36,1306,0,0,0,74,99,-1,32,0,0,0,0,0,0,0,0,0
11256,182,23,23,0,60,64,130,3,3,3,0,3,3,49,0,49,49,64,64,10989,23,23,0,0,0,0,0,28,23,-1,32,0,0,0,0,0,0,0,0,0
11257,30994,96,96,0,10331,17849,30942,3,3,3,0,3,3,49,0,49,49,64,88,64,96,63,29,874,0,0,0,79,96,-1,32,0,0,0,0,0,0,0,0,0
11258,9438785,26,12,10,410381,1077144,3408740,2,9438785,674198,1331147,3408740,2,748003,1404253,3451826,48,488,296,0,34,12,12,166,0,1,1,12,12,28960,32,0,0,0,0,0,0,0,0,0
35962,48012,44,44,0,48012,0,48012,48012,0,0,0,0,0,0,0,0,0,20,32,20,44,33,9,85,0,0,0,50,44,-1,20,0,0,0,0,0,0,0,0,0
59152,60451904,105,90,20,20200000,34600000,60000000,30805,60100000,60100000,0,60100000,60100000,60400000,0,60400000,60400000,64,72,0,105,71,20,404,0,0,0,89,90,-1,32,30805,0,30805,30805,60000000,0,60000000,60000000,0
59140,4167174,6,6,0,833434,1861720,4163781,3,0,0,0,0,0,1041723,2081371,4163781,3,20,100,1,6,6,0,0,0,0,1,7,6,229,20,0,0,0,0,0,0,0,0,0
59135,117345,95,95,0,39115,67705,117294,3,3,3,0,3,3,48,0,48,48,64,64,17,95,56,35,1228,0,0,0,70,95,-1,32,0,0,0,0,0,0,0,0,0
11264,46351903,2920,1400,815,503825,2125950,10000000,3,40400000,986015,3003276,10000000,57,926729,2834482,10000000,46,860,1032,1,2920,781,912,832984,0,1,0,789,1400,29200,20,111033,191729,398627,15067,9995630,25570,10000000,9960018,0
69119,24,6,6,0,24,0,24,24,0,0,0,0,0,0,0,0,0,40,20,41666,6,2,3,12,0,1,0,3,6,29200,40,0,0,0,0,0,0,0,0,2
61796,49,6,6,0,49,0,49,49,0,0,0,0,0,0,0,0,0,40,20,20408,6,2,3,12,0,1,0,3,6,29200,40,0,0,0,0,0,0,0,0,2
18780,53,6,6,0,53,0,53,53,0,0,0,0,0,0,0,0,0,40,20,18867,6,2,3,12,0,1,0,3,6,29200,40,0,0,0,0,0,0,0,0,2
18779,55,6,6,0,55,0,55,55,0,0,0,0,0,0,0,0,0,24,20,18181,6,3,2,5,0,1,0,5,6,1024,24,0,0,0,0,0,0,0,0,2
3043,91,6,6,0,91,0,91,91,0,0,0,0,0,0,0,0,0,24,20,10989,6,3,2,5,0,1,0,5,6,1024,24,0,0,0,0,0,0,0,0,2
39239,4,6,6,0,4,0,4,4,0,0,0,0,0,0,0,0,0,40,20,250000,6,2,3,12,0,1,0,3,6,29200,40,0,0,0,0,0,0,0,0,2
39240,75,6,6,0,75,0,75,75,0,0,0,0,0,0,0,0,0,40,20,13333,6,2,3,12,0,1,0,3,6,29200,40,0,0,0,0,0,0,0,0,2
