,Flow Duration,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Bwd Packets/s,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Avg Bwd Segment Size,Init_Win_bytes_forward,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,100343301,0,0,0,12542912,35336363,99995561,68,100336657,25084164,49944816,100001084,6742,33445542,57639945,100002205,21127,168,136,0,239,25,75,5638,0,3,8,28,0,28400,32,0,0,0,0,1534266881598544,37874942,1534266967490147,1534266867159081,15
1,100320423,0,0,0,12540052,35337530,99995598,55,100314077,25078519,49948596,100001106,166,33438190,57646098,100001944,5703,168,136,0,239,25,75,5638,0,3,8,28,0,28400,32,0,0,0,0,1534266881606689,37871346,1534266967490200,1534266867181686,15
2,100313898,0,0,0,12539237,35337952,99995844,93,100307591,25076897,49949679,100001122,324,33436035,57648135,100002151,5722,168,136,0,239,25,75,5638,0,3,8,28,0,28400,32,0,0,0,0,1534266881610392,37869816,1534266967490459,1534266867188239,15
3,100307169,0,0,0,12538396,35338190,99995609,40,100300928,25075232,49950785,100001129,345,33433724,57649866,100001850,5981,168,136,0,239,25,75,5638,0,3,8,28,0,28400,32,0,0,0,0,1534266881614357,37867959,1534266967490240,1534266867194872,15
4,100300510,0,0,0,12537563,35338458,99995456,39,100294149,25073537,49951909,100001132,193,33431536,57651725,100001817,5683,168,136,0,239,25,75,5638,0,3,8,28,0,28400,32,0,0,0,0,1534266881618183,37866200,1534266967490103,1534266867201669,15
5,100294726,0,0,0,12536840,35338758,99995491,43,100287587,25071896,49952999,100001140,206,33429616,57654084,100002630,5690,168,136,0,239,25,75,5638,0,3,8,28,0,28400,32,0,0,0,0,1534266881622056,37864505,1534266967490154,1534266867208259,15
6,100287250,0,0,0,12535906,35339216,99995704,28,100281095,25070273,49954082,100001152,171,33427170,57655527,100001859,5476,168,136,0,239,25,75,5638,0,3,8,28,0,28400,32,0,0,0,0,1534266881625518,37863066,1534266967490380,1534266867214761,15
7,100281256,0,0,0,12535157,35339446,99995540,25,100274797,25068699,49955125,100001154,150,33425175,57657369,100001999,5751,168,136,0,239,25,75,5638,0,3,8,28,0,28400,32,0,0,0,0,1534266881629234,37861353,1534266967490232,1534266867221074,15
8,100274960,0,0,0,12534370,35339931,99995964,36,100268574,25067143,49956164,100001167,164,33423173,57659401,100002350,5323,168,136,0,239,25,75,5638,0,3,8,28,0,28400,32,0,0,0,0,1534266881632565,37860068,1534266967490671,1534266867227336,15
9,100269813,0,0,0,12533726,35340031,99995583,27,100262550,25065637,49957170,100001181,160,33421314,57661433,100002846,5650,168,136,0,239,25,75,5638,0,3,8,28,0,28400,32,0,0,0,0,1534266881636440,37858188,1534266967490303,1534266867233378,15
