,Flow Duration,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Bwd Packets/s,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Avg Bwd Segment Size,Init_Win_bytes_forward,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,16599,85,42,60,8299,11734,16597,2,0,0,0,0,0,2,0,2,2,20,40,120,85,21,42,1806,2,1,3,28,42,1024,20,0,0,0,0,0,0,0,0,15
1,25462,960,244,415,3637,6630,17640,2,7813,3906,4270,6926,887,4700,9395,18794,2,72,112,196,960,168,320,102571,1,2,7,189,244,8192,20,0,0,0,0,1461434525235606,11264,1461434525247932,1461434525222743,15
2,18546,0,0,0,18546,0,18546,18546,0,0,0,0,0,0,0,0,0,20,20,53,0,0,0,0,1,0,2,0,0,258,20,0,0,0,0,0,0,0,0,15
3,18073,0,0,0,18073,0,18073,18073,18073,18073,0,18073,18073,0,0,0,0,40,0,0,0,0,0,0,1,0,2,0,0,258,20,0,0,0,0,0,0,0,0,15
4,72952,960,942,125,503,1861,12437,0,72866,2802,5947,29018,79,527,1841,12437,0,552,2392,1631,960,764,384,147904,1,5,145,770,942,8192,20,0,0,0,0,1461434525418042,12485,1461434525434706,1461434525361850,15
5,2245,0,0,0,2245,0,2245,2245,2245,2245,0,2245,2245,0,0,0,0,40,0,0,0,0,0,0,1,0,2,0,0,258,20,0,0,0,0,0,0,0,0,15
6,173721,960,947,93,269,1331,21624,0,173399,2251,4277,26029,282,294,1425,21624,0,1572,11372,3269,960,832,321,103286,1,6,645,834,947,8192,20,0,0,0,0,1461434558250504,36739,1461434558323058,1461434558149697,15
7,137242,0,0,0,137242,0,137242,137242,137242,137242,0,137242,137242,0,0,0,0,40,0,0,0,0,0,0,1,0,2,0,0,1083,20,0,0,0,0,0,0,0,0,15
8,36759,196,49,98,6126,10653,27247,1,7181,3590,4536,6798,383,10023,14982,27247,1,72,92,108,908,137,318,101504,1,2,6,157,49,8192,20,0,0,0,0,1461434589901692,15000,1461434589923436,1461434589889117,15
9,1356,0,0,0,1356,0,1356,1356,1356,1356,0,1356,1356,0,0,0,0,40,0,0,0,0,0,0,1,0,2,0,0,257,20,0,0,0,0,0,0,0,0,15
10,67508,423,211,299,16877,19025,34062,203,33446,16723,22780,32831,615,34880,0,34880,34880,72,52,29,423,107,177,31639,1,2,4,128,211,8192,20,0,0,0,0,1461434617787390,23362,1461434617803910,1461434617770870,15
11,249,0,0,0,249,0,249,249,249,249,0,249,249,0,0,0,0,40,0,0,0,0,0,0,1,0,2,0,0,258,20,0,0,0,0,0,0,0,0,15
12,68705,189,94,133,17176,19416,34592,203,34113,17056,23370,33582,531,35326,0,35326,35326,72,52,29,449,106,184,33896,1,2,4,127,94,8192,20,0,0,0,0,1461434618286608,23834,1461434618303462,1461434618269755,15
13,208020,0,0,0,208020,0,208020,208020,208020,208020,0,208020,208020,0,0,0,0,40,0,0,0,0,0,0,1,0,2,0,0,259,20,0,0,0,0,0,0,0,0,15
14,29406,196,49,98,4200,6487,17677,1,7335,2445,3818,6846,17,7590,9098,17677,1,92,92,136,960,133,316,100312,1,2,7,149,49,8192,20,0,0,0,0,1461434620597195,9248,1461434620612027,1461434620587227,15
15,1371,0,0,0,1371,0,1371,1371,1371,1371,0,1371,1371,0,0,0,0,40,0,0,0,0,0,0,1,0,2,0,0,257,20,0,0,0,0,0,0,0,0,15
16,90115576,0,0,0,4742925,11252918,30103910,1,90115576,4742925,11252918,30103910,1,0,0,0,0,160,0,0,405,359,44,1950,0,0,0,377,0,0,8,0,0,0,0,1461434547082976,32980664,1461434592112400,1461434501996831,15
17,16855,196,49,98,2809,3338,8530,1,9261,4630,5794,8728,533,2775,2434,4556,1,72,92,237,749,118,263,69684,1,2,6,135,49,8192,20,0,0,0,0,1461434646955474,5999,1461434646960581,1461434646946962,15
18,1668,0,0,0,1668,0,1668,1668,1668,1668,0,1668,1668,0,0,0,0,40,0,0,0,0,0,0,1,0,2,0,0,257,20,0,0,0,0,0,0,0,0,15
19,107798566,109,109,0,15399795,19425410,41879619,35419,107762309,35920769,5547497,41919894,30976315,35921049,5545077,41918889,30981171,32,32,0,109,82,25,640,0,0,0,92,109,0,8,0,0,0,0,1461434562621853,38873974,1461434617741033,1461434510093688,15
20,80223285,64,24,28,6171021,22124404,79805472,3873,80223285,16044657,35643387,79805472,75302,11446187,30183539,79896019,27600,120,160,0,64,27,25,662,0,8,14,29,24,64240,20,0,0,0,0,1461434542541642,41760434,1461434582628396,1461434502468095,15
21,101830656,0,0,0,5990038,16781883,69942404,4,101830656,5990038,16781883,69942404,4,0,0,0,0,144,0,0,443,406,29,872,0,0,0,428,0,0,8,0,0,0,0,1375467782759425,354449932764616,1461434594304392,6964991,15
22,7690,468,117,234,1281,1335,3167,0,3574,1787,2093,3267,307,1507,1308,2353,0,72,92,520,468,102,191,36699,1,2,6,116,117,8192,20,0,0,0,0,1461434669555806,2563,1461434669558101,1461434669552274,15
23,30043171,0,0,0,2731197,2104779,6008643,1502142,30043171,2731197,2104779,6008643,1502142,0,0,0,0,96,0,0,68,68,0,0,0,0,0,73,0,0,8,0,0,0,0,1461293900967880,9096044,1461293914487228,1461293887448347,15
24,137,0,0,0,137,0,137,137,0,0,0,0,0,0,0,0,0,20,20,7299,0,0,0,0,1,0,2,0,0,946,20,0,0,0,0,0,0,0,0,15
25,17961,124,124,0,17961,0,17961,17961,0,0,0,0,0,0,0,0,0,8,8,55,124,64,51,2640,0,0,0,97,124,0,8,0,0,0,0,0,0,0,0,15
26,54611896,22,4,9,6067988,18103425,54343753,1710,54561933,13640483,27184251,54416857,32887,13633513,27140159,54343753,62282,160,160,0,248,49,87,7661,0,6,10,54,4,255,32,0,0,0,0,1461435061677086,25192931,1461435102549507,1461435047988571,15
27,119005115,0,0,0,119005115,0,119005115,119005115,119005115,119005115,0,119005115,119005115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119005115,0,119005115,119005115,15
28,153,0,0,0,153,0,153,153,0,0,0,0,0,0,0,0,0,20,20,6535,0,0,0,0,1,0,2,0,0,946,20,0,0,0,0,0,0,0,0,15
